ptest -- memset version 1.0
start	0	end	512
incr	1	ntry	10000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	0	testmask	0x00
bytes   	   local	        	    i386	        	    i586	        	    i686	        	 i686fix	        	  lx_zan	        	 lx_simp	        	  lx_hyb	        	lx_hyb_BA	        	  lx_mmx	        	lx_mmx64	        	lx_mmx64simp	        	lx_mmx64_BA	        
      91	   0.000%	 128.575	  -0.806%	 129.612	 -28.167%	 164.790	  11.005%	 114.425	  11.017%	 114.409	   9.601%	 116.231	  14.905%	 109.411	  11.006%	 114.424	  11.006%	 114.424	 -11.235%	 143.020	   1.662%	 126.438	   5.665%	 121.291	   1.670%	 126.428
      92	   0.000%	 123.749	  -0.719%	 124.639	 -28.912%	 159.528	  11.570%	 109.431	  11.572%	 109.429	   9.548%	 111.934	  15.631%	 104.407	  11.606%	 109.387	  11.582%	 109.417	 -11.482%	 137.959	   1.985%	 121.293	   6.030%	 116.288	   1.952%	 121.334
      93	   0.000%	 127.694	  -0.778%	 128.688	 -27.875%	 163.289	  11.147%	 113.461	  11.170%	 113.430	   9.200%	 115.947	  15.139%	 108.363	  11.188%	 113.408	  11.186%	 113.411	 -11.102%	 141.870	   1.787%	 125.413	   5.842%	 120.235	   1.851%	 125.331
      94	   0.000%	 128.572	  -0.791%	 129.590	 -28.102%	 164.704	  10.990%	 114.442	  10.980%	 114.455	   9.563%	 116.277	  14.899%	 109.416	  11.010%	 114.417	  11.050%	 114.366	 -11.222%	 143.000	   1.781%	 126.283	   5.726%	 121.210	   1.716%	 126.366
      95	   0.000%	 129.671	  -0.694%	 130.571	 -27.824%	 165.750	  10.988%	 115.423	  10.983%	 115.429	   9.108%	 117.861	  14.854%	 110.409	  11.011%	 115.393	  10.998%	 115.410	 -11.034%	 143.979	   1.789%	 127.352	   5.712%	 122.264	   1.827%	 127.302
      96	   0.000%	 118.748	  -0.779%	 119.673	 -40.383%	 166.701	  12.082%	 104.401	  12.081%	 104.402	   9.967%	 106.912	  16.289%	  99.405	  12.083%	 104.399	  12.095%	 104.385	  -8.500%	 128.841	   1.953%	 116.428	   6.234%	 111.345	   1.939%	 116.445
      97	   0.000%	 128.518	  -0.626%	 129.323	 -35.332%	 173.925	  11.274%	 114.029	  11.222%	 114.095	   9.353%	 116.497	  15.096%	 109.116	  11.421%	 113.840	  11.255%	 114.052	  -7.416%	 138.048	   2.028%	 125.911	   6.077%	 120.707	   2.250%	 125.626
      98	   0.000%	 129.308	  -0.753%	 130.282	 -35.615%	 175.361	  10.978%	 115.112	  10.878%	 115.242	   9.744%	 116.708	  15.122%	 109.754	  10.988%	 115.100	  10.911%	 115.199	  -7.637%	 139.183	   1.884%	 126.872	   5.948%	 121.617	   1.768%	 127.022
      99	   0.000%	 131.307	  -0.435%	 131.878	 -35.239%	 177.578	  10.983%	 116.886	  10.892%	 117.005	   8.926%	 119.587	  14.909%	 111.730	  10.900%	 116.994	  10.904%	 116.989	  -7.457%	 141.098	   1.923%	 128.782	   5.768%	 123.733	   1.912%	 128.796
     100	   0.000%	 125.358	  -0.453%	 125.926	 -39.257%	 174.570	  11.459%	 110.993	  11.345%	 111.136	   9.904%	 112.943	  15.261%	 106.228	  11.333%	 111.151	  11.453%	 111.001	 -10.349%	 138.332	   1.607%	 123.344	   5.906%	 117.954	   1.919%	 122.953
     101	   0.000%	 129.292	  -0.528%	 129.975	 -38.445%	 178.998	  11.011%	 115.055	  11.179%	 114.838	   9.581%	 116.904	  14.825%	 110.125	  10.930%	 115.160	  11.131%	 114.901	  -9.929%	 142.129	   1.917%	 126.813	   5.682%	 121.946	   1.929%	 126.797
     102	   0.000%	 130.207	  -0.731%	 131.159	 -37.626%	 179.199	  11.062%	 115.803	  10.981%	 115.909	   8.978%	 118.518	  14.898%	 110.809	  10.941%	 115.961	  10.954%	 115.945	  -9.948%	 143.160	   1.800%	 127.863	   5.940%	 122.473	   1.824%	 127.833
     103	   0.000%	 131.268	  -0.641%	 132.110	 -37.858%	 180.963	  10.882%	 116.983	  10.897%	 116.964	   9.081%	 119.347	  14.648%	 112.039	  11.028%	 116.791	  10.914%	 116.941	  -9.785%	 144.112	   1.914%	 128.755	   5.844%	 123.597	   1.912%	 128.757
     104	   0.000%	 126.545	  -0.695%	 127.424	 -38.196%	 174.880	  11.664%	 111.784	  11.338%	 112.198	   9.583%	 114.418	  15.367%	 107.098	  11.375%	 112.151	  11.225%	 112.341	  -9.934%	 139.117	   2.134%	 123.844	   6.134%	 118.782	   2.157%	 123.815
     105	   0.000%	 131.095	  -0.635%	 131.927	 -37.187%	 179.846	  10.769%	 116.978	  10.864%	 116.854	   8.932%	 119.386	  14.540%	 112.034	  10.802%	 116.934	  10.840%	 116.884	  -9.902%	 144.077	   1.844%	 128.679	   5.680%	 123.649	   1.785%	 128.755
     106	   0.000%	 132.290	  -0.411%	 132.834	 -37.124%	 181.402	  10.860%	 117.924	  10.821%	 117.976	   9.123%	 120.222	  14.694%	 112.852	  10.993%	 117.748	  10.779%	 118.031	  -9.644%	 145.048	   2.029%	 129.606	   5.770%	 124.658	   2.164%	 129.428
     107	   0.000%	 133.294	  -0.411%	 133.842	 -36.406%	 181.822	  10.860%	 118.819	  10.780%	 118.925	   9.320%	 120.872	  14.577%	 113.864	  10.685%	 119.052	  10.606%	 119.157	  -9.615%	 146.111	   2.140%	 130.441	   5.751%	 125.629	   2.126%	 130.461
     108	   0.000%	 129.256	  -0.629%	 130.069	 -37.866%	 178.200	  11.073%	 114.944	  11.114%	 114.891	   9.802%	 116.586	  14.966%	 109.912	  11.017%	 115.017	  11.133%	 114.866	 -10.002%	 142.185	   1.783%	 126.952	   5.626%	 121.984	   1.886%	 126.818
     109	   0.000%	 133.238	  -0.619%	 134.064	 -36.987%	 182.519	  10.796%	 118.853	  10.778%	 118.878	   9.338%	 120.796	  14.527%	 113.883	  10.741%	 118.928	  10.832%	 118.806	  -9.644%	 146.088	   1.970%	 130.613	   5.604%	 125.772	   2.020%	 130.547
     110	   0.000%	 134.207	  -0.595%	 135.006	 -36.281%	 182.899	  10.632%	 119.939	  10.794%	 119.721	   9.029%	 122.090	  14.594%	 114.620	  10.592%	 119.991	  10.813%	 119.695	  -9.591%	 147.080	   1.775%	 131.825	   5.675%	 126.590	   1.980%	 131.550
     111	   0.000%	 135.115	  -0.656%	 136.002	 -36.373%	 184.261	  10.618%	 120.768	  10.595%	 120.799	   8.814%	 123.206	  14.090%	 116.077	  10.603%	 120.788	  10.422%	 121.034	  -9.564%	 148.038	   1.819%	 132.658	   5.554%	 127.610	   1.788%	 132.700
     112	   0.000%	 130.255	  -0.583%	 131.014	 -37.747%	 179.422	  11.724%	 114.984	  11.044%	 115.870	   9.121%	 118.374	  14.655%	 111.166	  10.981%	 115.951	  10.872%	 116.093	  -9.941%	 143.203	   1.779%	 127.937	   5.838%	 122.651	   1.978%	 127.679
     113	   0.000%	 134.227	  -0.442%	 134.821	 -36.437%	 183.136	  10.715%	 119.846	  10.667%	 119.910	   9.089%	 122.027	  14.371%	 114.937	  10.677%	 119.896	  10.745%	 119.804	  -9.590%	 147.099	   2.000%	 131.542	   5.631%	 126.669	   2.017%	 131.519
     114	   0.000%	 135.046	  -0.692%	 135.981	 -36.304%	 184.073	  10.649%	 120.665	  10.518%	 120.842	   8.720%	 123.271	  14.102%	 116.002	  10.529%	 120.827	  10.488%	 120.883	  -9.609%	 148.023	   1.893%	 132.491	   5.561%	 127.536	   1.867%	 132.525
     115	   0.000%	 136.179	  -0.439%	 136.777	 -35.783%	 184.908	  10.550%	 121.811	  10.547%	 121.816	   8.735%	 124.284	  14.209%	 116.829	  10.451%	 121.947	  10.529%	 121.841	  -9.550%	 149.184	   1.938%	 133.540	   5.568%	 128.596	   1.825%	 133.693
     116	   0.000%	 131.266	  -0.675%	 132.152	 -37.324%	 180.260	  10.915%	 116.938	  11.059%	 116.749	   9.199%	 119.191	  14.859%	 111.761	  10.937%	 116.909	  11.034%	 116.781	  -9.830%	 144.170	   1.836%	 128.856	   5.781%	 123.678	   1.961%	 128.691
     117	   0.000%	 135.301	  -0.475%	 135.944	 -36.108%	 184.156	  10.702%	 120.821	  10.726%	 120.789	   8.907%	 123.250	  14.247%	 116.025	  10.633%	 120.915	  10.727%	 120.788	  -9.438%	 148.071	   1.920%	 132.704	   5.525%	 127.826	   1.954%	 132.657
     118	   0.000%	 136.234	  -0.587%	 137.034	 -35.921%	 185.171	  10.573%	 121.830	  10.583%	 121.817	   8.753%	 124.310	  14.312%	 116.736	  10.485%	 121.950	  10.581%	 121.820	  -9.455%	 149.115	   1.995%	 133.516	   5.506%	 128.733	   1.708%	 133.908
     119	   0.000%	 137.053	  -0.535%	 137.786	 -35.819%	 186.144	  10.457%	 122.722	  10.473%	 122.700	   9.032%	 124.674	  14.111%	 117.714	  10.307%	 122.927	  10.431%	 122.757	  -9.541%	 150.130	   1.738%	 134.671	   5.539%	 129.462	   1.724%	 134.691
     120	   0.000%	 132.269	  -0.559%	 133.008	 -36.611%	 180.695	  11.106%	 117.580	  10.837%	 117.935	   9.031%	 120.324	  14.638%	 112.908	  10.853%	 117.914	  10.860%	 117.905	  -9.634%	 145.012	   2.179%	 129.387	   5.691%	 124.741	   2.145%	 129.432
     121	   0.000%	 136.272	  -0.391%	 136.806	 -35.720%	 184.949	  10.625%	 121.794	  10.638%	 121.775	   8.928%	 124.106	  14.370%	 116.690	  10.605%	 121.820	  10.639%	 121.775	  -9.485%	 149.197	   1.989%	 133.562	   5.652%	 128.571	   1.906%	 133.675
     122	   0.000%	 137.027	  -0.541%	 137.768	 -35.467%	 185.627	  10.347%	 122.849	  10.506%	 122.632	   8.969%	 124.738	  14.134%	 117.660	  10.376%	 122.810	  10.565%	 122.550	  -9.577%	 150.151	   1.731%	 134.655	   5.472%	 129.529	   1.684%	 134.720
     123	   0.000%	 137.922	  -0.734%	 138.934	 -35.652%	 187.094	  10.378%	 123.608	  10.285%	 123.737	   8.583%	 126.085	  14.035%	 118.565	  10.289%	 123.731	  10.297%	 123.720	  -9.566%	 151.115	   1.550%	 135.785	   5.436%	 130.424	   1.634%	 135.668
     124	   0.000%	 133.103	  -0.717%	 134.058	 -36.962%	 182.302	  10.719%	 118.836	  10.725%	 118.828	   9.462%	 120.509	  14.406%	 113.928	  10.675%	 118.895	  10.698%	 118.864	  -9.741%	 146.069	   1.867%	 130.618	   5.450%	 125.849	   1.920%	 130.547
     125	   0.000%	 137.119	  -0.574%	 137.907	 -35.570%	 185.893	  10.443%	 122.800	  10.403%	 122.855	   9.118%	 124.617	  14.196%	 117.654	  10.465%	 122.769	  10.453%	 122.786	  -9.493%	 150.136	   1.767%	 134.696	   5.538%	 129.526	   1.777%	 134.683
     126	   0.000%	 138.008	  -0.725%	 139.009	 -35.859%	 187.496	  10.337%	 123.743	  10.339%	 123.740	   8.580%	 126.166	  13.910%	 118.811	  10.388%	 123.672	  10.349%	 123.725	  -9.484%	 151.096	   1.670%	 135.703	   5.491%	 130.429	   1.664%	 135.712
     127	   0.000%	 138.966	  -0.749%	 140.008	 -35.419%	 188.187	  10.110%	 124.917	  10.380%	 124.541	   8.568%	 127.060	  13.868%	 119.694	  10.204%	 124.786	  10.408%	 124.503	  -9.411%	 152.045	   1.704%	 136.599	   5.335%	 131.553	   1.696%	 136.609
     128	   0.000%	 128.444	  -0.581%	 129.191	 -47.479%	 189.429	  11.232%	 114.018	  11.325%	 113.898	   9.191%	 116.639	  14.989%	 109.191	  11.049%	 114.253	  11.229%	 114.022	  -6.804%	 137.184	  -7.058%	 137.510	  -1.594%	 130.492	  -6.251%	 136.474
     129	   0.000%	 137.742	  -0.756%	 138.783	 -42.932%	 196.877	  10.056%	 123.891	  10.112%	 123.813	   8.811%	 125.606	  13.771%	 118.773	  10.293%	 123.564	  10.303%	 123.551	  -6.482%	 146.670	  -6.469%	 146.652	  -1.359%	 139.613	  -5.709%	 145.605
     130	   0.000%	 138.566	  -0.726%	 139.572	 -42.769%	 197.830	   9.939%	 124.794	   9.687%	 125.143	   8.132%	 127.298	  13.712%	 119.566	  10.057%	 124.630	   9.990%	 124.724	  -6.476%	 147.540	  -6.860%	 148.072	  -1.640%	 140.839	  -5.815%	 146.625
     131	   0.000%	 140.877	  -0.459%	 141.524	 -41.817%	 199.787	  10.123%	 126.616	  10.039%	 126.734	   8.619%	 128.735	  13.761%	 121.491	   9.947%	 126.864	  10.128%	 126.608	  -6.178%	 149.580	  -6.351%	 149.823	  -1.310%	 142.722	  -5.487%	 148.606
     132	   0.000%	 135.594	  -0.237%	 135.915	 -45.152%	 196.819	  10.684%	 121.108	  10.775%	 120.984	   9.064%	 123.304	  14.686%	 115.681	  10.815%	 120.930	  10.734%	 121.040	  -8.133%	 146.622	  -8.141%	 146.633	  -2.913%	 139.545	  -7.362%	 145.577
     133	   0.000%	 139.008	  -0.393%	 139.554	 -44.501%	 200.868	  10.208%	 124.818	  10.421%	 124.522	   8.773%	 126.813	  13.929%	 119.645	  10.236%	 124.780	  10.216%	 124.807	  -8.339%	 150.599	  -8.472%	 150.785	  -3.366%	 143.687	  -7.887%	 149.972
     134	   0.000%	 139.734	  -0.671%	 140.671	 -44.523%	 201.948	  10.062%	 125.674	  10.100%	 125.620	   8.369%	 128.040	  13.846%	 120.386	  10.075%	 125.655	  10.129%	 125.580	  -8.538%	 151.665	  -8.579%	 151.721	  -3.532%	 144.670	  -8.001%	 150.913
     135	   0.000%	 140.849	  -0.368%	 141.367	 -43.943%	 202.741	  10.092%	 126.634	  10.087%	 126.642	   8.363%	 129.070	  13.887%	 121.290	  10.100%	 126.623	  10.028%	 126.725	  -8.196%	 152.393	  -8.373%	 152.643	  -3.457%	 145.718	  -7.802%	 151.837
     136	   0.000%	 136.213	  -0.556%	 136.970	 -45.342%	 197.975	  10.725%	 121.605	  10.664%	 121.687	   8.999%	 123.956	  13.876%	 117.312	  10.503%	 121.906	  10.379%	 122.076	  -8.350%	 147.587	  -8.414%	 147.674	  -3.218%	 140.597	  -7.758%	 146.780
     137	   0.000%	 140.913	  -0.548%	 141.686	 -43.635%	 202.401	  10.085%	 126.702	  10.115%	 126.660	   8.528%	 128.896	  13.904%	 121.321	  10.080%	 126.710	  10.160%	 126.597	  -8.259%	 152.552	  -8.327%	 152.647	  -3.253%	 145.498	  -7.744%	 151.825
     138	   0.000%	 142.021	  -0.138%	 142.217	 -43.145%	 203.297	  10.105%	 127.670	  10.322%	 127.362	   8.601%	 129.807	  13.577%	 122.740	  10.099%	 127.679	  10.240%	 127.478	  -8.120%	 153.553	  -8.152%	 153.598	  -3.141%	 146.481	  -7.536%	 152.724
     139	   0.000%	 142.837	  -0.423%	 143.440	 -43.156%	 204.479	  10.061%	 128.466	  10.013%	 128.534	   8.382%	 130.864	  13.546%	 123.488	  10.206%	 128.259	  10.055%	 128.474	  -8.023%	 154.297	  -8.300%	 154.691	  -3.264%	 147.498	  -7.572%	 153.652
     140	   0.000%	 138.759	  -0.467%	 139.406	 -44.412%	 200.384	  10.073%	 124.781	   9.989%	 124.898	   8.678%	 126.717	  13.880%	 119.498	  10.262%	 124.519	   9.913%	 125.003	  -8.631%	 150.735	  -8.720%	 150.858	  -3.538%	 143.668	  -8.007%	 149.868
     141	   0.000%	 142.757	  -0.642%	 143.673	 -42.840%	 203.914	   9.976%	 128.516	   9.937%	 128.570	   8.506%	 130.615	  13.649%	 123.273	  10.021%	 128.451	  10.168%	 128.241	  -8.127%	 154.359	  -8.306%	 154.615	  -3.399%	 147.609	  -7.647%	 153.673
     142	   0.000%	 143.872	  -0.534%	 144.640	 -42.663%	 205.252	  10.102%	 129.337	  10.053%	 129.408	   8.803%	 131.207	  13.519%	 124.422	  10.100%	 129.341	  10.040%	 129.428	  -8.093%	 155.515	  -8.350%	 155.885	  -3.277%	 148.587	  -7.491%	 154.650
     143	   0.000%	 144.741	  -0.380%	 145.292	 -42.585%	 206.380	   9.852%	 130.481	   9.940%	 130.354	   8.479%	 132.469	  13.321%	 125.461	   9.985%	 130.289	   9.930%	 130.368	  -7.999%	 156.320	  -8.232%	 156.656	  -3.418%	 149.688	  -7.604%	 155.747
     144	   0.000%	 139.892	  -0.492%	 140.580	 -44.005%	 201.452	  10.081%	 125.789	  10.125%	 125.728	   8.312%	 128.263	  13.628%	 120.828	  10.182%	 125.648	  10.043%	 125.843	  -8.336%	 151.554	  -8.527%	 151.820	  -3.439%	 144.703	  -7.692%	 150.652
     145	   0.000%	 144.092	  -0.328%	 144.564	 -42.606%	 205.484	  10.192%	 129.406	  10.096%	 129.544	   8.970%	 131.168	  13.819%	 124.179	  10.233%	 129.347	  10.135%	 129.488	  -7.909%	 155.489	  -8.098%	 155.760	  -3.208%	 148.714	  -7.324%	 154.645
     146	   0.000%	 144.471	  -0.617%	 145.362	 -42.864%	 206.396	   9.767%	 130.360	   9.868%	 130.215	   8.303%	 132.476	  13.369%	 125.157	   9.732%	 130.411	   9.765%	 130.363	  -8.306%	 156.471	  -8.445%	 156.672	  -3.543%	 149.589	  -7.900%	 155.884
     147	   0.000%	 145.506	  -0.480%	 146.205	 -42.552%	 207.422	   9.777%	 131.280	   9.728%	 131.352	   8.312%	 133.412	  13.183%	 126.325	   9.916%	 131.078	   9.691%	 131.406	  -8.233%	 157.486	  -8.435%	 157.781	  -3.482%	 150.573	  -7.589%	 156.549
     148	   0.000%	 140.627	  -0.757%	 141.691	 -43.788%	 202.204	   9.964%	 126.614	   9.974%	 126.601	   8.174%	 129.132	  13.422%	 121.752	   9.942%	 126.645	   9.862%	 126.758	  -8.243%	 152.219	  -8.612%	 152.738	  -3.537%	 145.601	  -7.849%	 151.664
     149	   0.000%	 144.970	  -0.252%	 145.336	 -42.070%	 205.959	  10.163%	 130.236	  10.054%	 130.396	   8.731%	 132.313	  13.644%	 125.191	  10.034%	 130.424	  10.259%	 130.098	  -7.849%	 156.349	  -8.078%	 156.681	  -3.255%	 149.689	  -7.411%	 155.714
     150	   0.000%	 145.676	  -0.433%	 146.307	 -42.299%	 207.295	   9.834%	 131.350	   9.841%	 131.340	   8.668%	 133.049	  13.439%	 126.098	   9.858%	 131.315	   9.736%	 131.492	  -8.043%	 157.392	  -8.174%	 157.584	  -3.314%	 150.504	  -7.546%	 156.668
     151	   0.000%	 146.712	  -0.440%	 147.358	 -41.965%	 208.279	   9.819%	 132.306	  10.000%	 132.041	   8.116%	 134.804	  13.402%	 127.049	   9.837%	 132.279	   9.892%	 132.200	  -7.964%	 158.396	  -8.190%	 158.728	  -3.332%	 151.600	  -7.557%	 157.799
     152	   0.000%	 141.887	  -0.424%	 142.489	 -43.324%	 203.358	  10.151%	 127.485	  10.076%	 127.590	   8.423%	 129.936	  13.772%	 122.346	  10.253%	 127.340	  10.024%	 127.665	  -8.099%	 153.379	  -8.315%	 153.686	  -3.376%	 146.677	  -7.727%	 152.851
     153	   0.000%	 145.833	  -0.359%	 146.356	 -42.194%	 207.366	   9.927%	 131.356	  10.114%	 131.083	   8.487%	 133.456	  13.379%	 126.322	   9.876%	 131.431	   9.974%	 131.287	  -7.981%	 157.471	  -8.209%	 157.804	  -3.277%	 150.612	  -7.451%	 156.699
     154	   0.000%	 146.673	  -0.490%	 147.391	 -41.799%	 207.981	   9.778%	 132.331	   9.793%	 132.309	   8.198%	 134.648	  13.348%	 127.096	   9.801%	 132.297	   9.725%	 132.409	  -8.016%	 158.430	  -8.353%	 158.924	  -3.347%	 151.581	  -7.593%	 157.810
     155	   0.000%	 147.740	  -0.344%	 148.248	 -41.687%	 209.328	   9.773%	 133.301	   9.763%	 133.316	   8.390%	 135.345	  13.205%	 128.231	   9.790%	 133.276	   9.760%	 133.320	  -7.920%	 159.441	  -8.128%	 159.748	  -3.280%	 152.585	  -7.464%	 158.767
     156	   0.000%	 142.616	  -0.653%	 143.546	 -43.377%	 204.478	   9.826%	 128.602	   9.689%	 128.798	   8.073%	 131.103	  13.609%	 123.207	   9.940%	 128.439	   9.996%	 128.359	  -8.286%	 154.433	  -8.414%	 154.616	  -3.347%	 147.389	  -7.587%	 153.436
     157	   0.000%	 146.718	  -0.472%	 147.409	 -42.121%	 208.517	   9.821%	 132.308	   9.765%	 132.391	   8.231%	 134.641	  13.279%	 127.235	   9.858%	 132.254	   9.858%	 132.255	  -7.871%	 158.266	  -8.223%	 158.782	  -3.269%	 151.514	  -7.552%	 157.797
     158	   0.000%	 147.284	  -0.509%	 148.033	 -42.152%	 209.367	   9.526%	 133.253	   9.521%	 133.261	   7.915%	 135.626	  12.912%	 128.267	   9.554%	 133.212	   9.530%	 133.248	  -8.237%	 159.416	  -8.403%	 159.661	  -3.498%	 152.436	  -7.683%	 158.600
     159	   0.000%	 148.432	  -0.538%	 149.231	 -41.860%	 210.565	   9.543%	 134.266	   9.443%	 134.416	   7.876%	 136.741	  13.024%	 129.100	   9.555%	 134.249	   9.559%	 134.244	  -7.995%	 160.299	  -8.284%	 160.728	  -3.448%	 153.549	  -7.571%	 159.670
     160	   0.000%	 138.001	  -0.450%	 138.621	 -53.603%	 211.973	  10.242%	 123.867	  10.447%	 123.584	   9.136%	 125.393	  13.946%	 118.755	  10.461%	 123.565	  10.236%	 123.875	  -5.629%	 145.769	  -8.532%	 149.775	  -3.324%	 142.588	  -7.839%	 148.819
     161	   0.000%	 147.566	  -0.727%	 148.638	 -48.731%	 219.475	   9.641%	 133.338	   9.684%	 133.275	   2.259%	 144.232	  12.965%	 128.433	   9.678%	 133.284	   9.738%	 133.196	  -5.046%	 155.011	  -7.884%	 159.200	  -3.100%	 152.140	  -7.107%	 158.053
     162	   0.000%	 148.552	  -0.338%	 149.054	 -47.969%	 219.811	   9.633%	 134.242	   9.600%	 134.292	   2.464%	 144.891	  12.925%	 129.351	   9.689%	 134.159	   9.696%	 134.148	  -5.015%	 156.003	  -7.762%	 160.083	  -3.064%	 153.104	  -7.054%	 159.030
     163	   0.000%	 150.304	  -0.686%	 151.335	 -48.093%	 222.591	   9.435%	 136.124	   9.489%	 136.042	   1.976%	 147.334	  12.593%	 131.376	   9.585%	 135.898	   9.424%	 136.140	  -5.085%	 157.947	  -7.715%	 161.900	  -3.130%	 155.009	  -7.298%	 161.274
     164	   0.000%	 144.970	  -0.482%	 145.669	 -51.270%	 219.296	   9.869%	 130.662	   9.951%	 130.544	   2.127%	 141.886	  13.553%	 125.322	   9.979%	 130.502	   9.751%	 130.834	  -6.909%	 154.985	  -7.783%	 156.252	  -2.938%	 149.229	  -7.035%	 155.168
     165	   0.000%	 148.207	  -0.727%	 149.285	 -50.701%	 223.349	   9.495%	 134.135	   9.368%	 134.323	   1.967%	 145.291	  12.650%	 129.459	   9.400%	 134.275	   9.461%	 134.184	  -7.294%	 159.018	  -8.156%	 160.295	  -3.163%	 152.895	  -7.432%	 159.221
     166	   0.000%	 149.630	  -0.228%	 149.971	 -49.709%	 224.009	   9.664%	 135.170	   9.642%	 135.203	   2.128%	 146.446	  12.878%	 130.360	   9.850%	 134.891	   9.635%	 135.213	  -6.893%	 159.944	  -7.510%	 160.867	  -2.925%	 154.006	  -6.996%	 160.098
     167	   0.000%	 150.312	  -0.538%	 151.120	 -49.596%	 224.860	   9.613%	 135.862	   9.418%	 136.155	   1.963%	 147.362	  12.935%	 130.869	   9.475%	 136.069	   9.360%	 136.242	  -7.051%	 160.910	  -7.820%	 162.067	  -3.181%	 155.094	  -7.241%	 161.196
     168	   0.000%	 145.976	  -0.420%	 146.590	 -50.647%	 219.909	  10.078%	 131.264	  10.148%	 131.163	   2.213%	 142.746	  13.160%	 126.765	   9.928%	 131.484	  10.053%	 131.302	  -6.861%	 155.992	  -7.641%	 157.131	  -3.003%	 150.360	  -6.952%	 156.125
     169	   0.000%	 150.204	  -0.719%	 151.284	 -49.839%	 225.065	   9.393%	 136.095	   9.557%	 135.849	   1.765%	 147.552	  12.688%	 131.146	   9.411%	 136.068	   9.325%	 136.198	  -7.106%	 160.877	  -7.712%	 161.788	  -3.232%	 155.059	  -7.145%	 160.936
     170	   0.000%	 151.002	  -0.506%	 151.766	 -49.111%	 225.161	   9.822%	 136.171	   9.044%	 137.345	   1.699%	 148.437	  12.422%	 132.245	   9.264%	 137.013	   9.088%	 137.279	  -7.230%	 161.920	  -7.868%	 162.883	  -3.266%	 155.934	  -7.222%	 161.908
     171	   0.000%	 152.317	  -0.504%	 153.084	 -48.948%	 226.874	   9.428%	 137.957	   9.421%	 137.968	   2.147%	 149.047	  12.634%	 133.073	   9.479%	 137.878	   9.440%	 137.938	  -6.735%	 162.576	  -7.690%	 164.031	  -3.047%	 156.959	  -6.994%	 162.970
     172	   0.000%	 148.494	  -0.616%	 149.408	 -49.498%	 221.996	   9.560%	 134.298	   9.604%	 134.232	   2.139%	 145.318	  12.968%	 129.237	   9.652%	 134.161	   9.692%	 134.102	  -7.038%	 158.945	  -7.903%	 160.229	  -3.148%	 153.168	  -7.173%	 159.144
     173	   0.000%	 152.343	  -0.448%	 153.026	 -48.600%	 226.382	   9.388%	 138.041	   9.517%	 137.844	   2.053%	 149.215	  12.625%	 133.110	   9.503%	 137.866	   9.542%	 137.806	  -6.804%	 162.708	  -7.745%	 164.141	  -3.111%	 157.082	  -6.945%	 162.922
     174	   0.000%	 153.206	  -0.214%	 153.534	 -48.418%	 227.385	   9.155%	 139.180	   9.264%	 139.012	   2.017%	 150.116	  12.628%	 133.859	   9.317%	 138.932	   9.489%	 138.669	  -6.845%	 163.693	  -7.675%	 164.964	  -3.152%	 158.035	  -7.061%	 164.024
     175	   0.000%	 154.085	  -0.554%	 154.938	 -48.199%	 228.352	   9.322%	 139.721	   9.296%	 139.761	   1.948%	 151.083	  12.619%	 134.641	   9.374%	 139.640	   9.317%	 139.728	  -6.976%	 164.834	  -7.632%	 165.845	  -3.112%	 158.879	  -6.952%	 164.797
     176	   0.000%	 149.357	  -0.494%	 150.094	 -49.843%	 223.801	   9.220%	 135.586	   9.551%	 135.091	   2.021%	 146.338	  12.897%	 130.094	   9.501%	 135.166	   9.182%	 135.643	  -7.200%	 160.111	  -7.679%	 160.826	  -3.125%	 154.024	  -7.313%	 160.280
     177	   0.000%	 153.427	  -0.430%	 154.087	 -48.021%	 227.104	   9.325%	 139.120	   9.465%	 138.906	   2.087%	 150.226	  12.801%	 133.786	   9.468%	 138.901	   9.510%	 138.837	  -6.703%	 163.712	  -7.520%	 164.965	  -3.050%	 158.107	  -6.882%	 163.986
     178	   0.000%	 154.218	  -0.474%	 154.949	 -48.142%	 228.461	   9.355%	 139.791	   9.176%	 140.066	   1.996%	 151.140	  12.533%	 134.890	   9.374%	 139.761	   9.335%	 139.822	  -6.742%	 164.615	  -7.553%	 165.866	  -2.947%	 158.762	  -7.028%	 165.056
     179	   0.000%	 155.045	  -0.524%	 155.858	 -47.875%	 229.274	   9.202%	 140.778	   9.248%	 140.707	   2.061%	 151.850	  12.458%	 135.730	   9.221%	 140.748	   9.194%	 140.790	  -6.821%	 165.622	  -7.643%	 166.896	  -3.036%	 159.752	  -6.978%	 165.864
     180	   0.000%	 149.969	  -0.832%	 151.217	 -49.870%	 224.759	   9.178%	 136.204	   9.141%	 136.260	   1.804%	 147.264	  12.403%	 131.369	   9.003%	 136.467	   9.197%	 136.177	  -7.234%	 160.817	  -8.003%	 161.971	  -3.423%	 155.102	  -7.370%	 161.021
     181	   0.000%	 154.031	  -0.640%	 155.017	 -48.448%	 228.656	   9.108%	 140.001	   9.084%	 140.038	   1.918%	 151.077	  12.426%	 134.891	   9.327%	 139.664	   9.232%	 139.811	  -6.942%	 164.725	  -7.763%	 165.989	  -3.188%	 158.942	  -7.034%	 164.865
