ptest -- memset version 1.0
start	0	end	512
incr	1	ntry	10000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i386	        	    i586	        	    i686	        	 i686fix	        	  lx_zan	        	 lx_simp	        	  lx_hyb	        	lx_hyb_BA	        	  lx_mmx	        	lx_mmx64	        	lx_mmx64simp	        	lx_mmx64_BA	        
      32	   0.000%	 113.781	  -1.033%	 114.956	  14.508%	  97.274	  -0.190%	 113.997	   1.036%	 112.603	  13.081%	  98.897	  19.494%	  91.601	   9.955%	 102.454	  10.013%	 102.388	   3.551%	 109.741	  -1.076%	 115.006	   7.574%	 105.164	  -0.643%	 114.513
      33	   0.000%	 114.321	  -0.327%	 114.695	  11.388%	 101.302	  -1.417%	 115.941	   1.230%	 112.915	   9.782%	 103.138	  16.250%	  95.744	   6.770%	 106.582	   6.657%	 106.711	   0.306%	 113.972	  -4.253%	 119.184	   4.383%	 109.311	  -3.788%	 118.652
      34	   0.000%	 114.436	  -0.887%	 115.451	  10.406%	 102.527	   1.859%	 112.308	   1.259%	 112.995	   9.077%	 104.048	  15.611%	  96.571	   6.067%	 107.493	   5.872%	 107.716	  -0.497%	 115.005	  -4.918%	 120.064	   3.483%	 110.450	  -4.486%	 119.569
      35	   0.000%	 114.467	  -0.842%	 115.430	   9.685%	 103.380	  -0.979%	 115.587	   1.033%	 113.284	   8.152%	 105.135	  14.769%	  97.561	   5.162%	 108.558	   4.967%	 108.781	  -1.498%	 116.181	  -5.738%	 121.035	   2.865%	 111.188	  -5.363%	 120.606
      36	   0.000%	 115.392	  -0.341%	 115.785	  -3.688%	 119.647	  -0.059%	 115.460	   1.426%	 113.746	  12.984%	 100.410	  19.176%	  93.264	  10.158%	 103.670	   9.700%	 104.198	   0.994%	 114.245	  -0.991%	 116.535	   7.553%	 106.676	  -0.294%	 115.731
      37	   0.000%	 115.326	  -0.829%	 116.282	  -4.810%	 120.873	  -1.630%	 117.206	   1.291%	 113.837	   9.567%	 104.293	  15.695%	  97.225	   6.668%	 107.636	   6.300%	 108.060	  -2.592%	 118.315	  -4.578%	 120.605	   4.185%	 110.499	  -3.793%	 119.700
      38	   0.000%	 115.486	  -1.078%	 116.731	  -5.822%	 122.209	   1.264%	 114.026	   1.099%	 114.216	   8.658%	 105.487	  15.067%	  98.085	   5.606%	 109.012	   5.535%	 109.094	  -3.146%	 119.119	  -5.163%	 121.449	   3.234%	 111.751	  -4.771%	 120.996
      39	   0.000%	 115.636	  -1.272%	 117.107	  -6.473%	 123.122	  -1.329%	 117.173	   1.043%	 114.430	   7.628%	 106.816	  14.575%	  98.783	   4.628%	 110.284	   4.619%	 110.294	  -4.348%	 120.664	  -6.097%	 122.687	   2.578%	 112.655	  -5.713%	 122.243
      40	   0.000%	 116.409	  -0.381%	 116.853	  -5.981%	 123.371	  -0.367%	 116.836	   1.510%	 114.651	  12.378%	 102.000	  18.680%	  94.663	   9.507%	 105.342	   9.105%	 105.810	   0.506%	 115.821	  -1.537%	 118.199	   7.261%	 107.956	  -0.882%	 117.435
      41	   0.000%	 116.553	  -0.707%	 117.378	  -6.126%	 123.693	  -1.703%	 118.538	   1.390%	 114.933	   9.383%	 105.617	  15.386%	  98.621	   6.233%	 109.289	   5.766%	 109.833	  -2.960%	 120.003	  -4.588%	 121.900	   3.989%	 111.904	  -3.918%	 121.120
      42	   0.000%	 116.520	  -0.920%	 117.593	  -6.417%	 123.997	   1.078%	 115.264	   0.869%	 115.508	   8.360%	 106.780	  14.276%	  99.886	   5.417%	 110.208	   5.329%	 110.311	  -3.698%	 120.829	  -5.615%	 123.063	   2.852%	 113.197	  -5.063%	 122.420
      43	   0.000%	 117.214	  -0.304%	 117.570	  -5.572%	 123.745	  -1.104%	 118.508	   1.189%	 115.821	   7.894%	 107.961	  14.489%	 100.231	   5.062%	 111.280	   4.964%	 111.396	  -4.094%	 122.012	  -5.906%	 124.137	   2.829%	 113.897	  -5.402%	 123.546
      44	   0.000%	 116.993	  -0.999%	 118.161	  -6.585%	 124.697	  -0.838%	 117.973	   0.827%	 116.025	  11.779%	 103.212	  17.887%	  96.066	   8.904%	 106.576	   8.359%	 107.214	  -0.255%	 117.291	  -2.302%	 119.686	   6.270%	 109.657	  -1.582%	 118.843
      45	   0.000%	 117.499	  -0.786%	 118.423	  -6.646%	 125.309	  -1.874%	 119.702	   0.885%	 116.459	   8.788%	 107.173	  14.788%	 100.124	   5.815%	 110.667	   5.499%	 111.039	  -3.256%	 121.325	  -4.798%	 123.137	   3.341%	 113.574	  -4.522%	 122.813
      46	   0.000%	 117.844	  -0.669%	 118.632	  -6.147%	 125.088	   0.759%	 116.950	   1.145%	 116.495	   7.997%	 108.420	  14.367%	 100.913	   4.987%	 111.966	   5.069%	 111.871	  -3.839%	 122.368	  -5.396%	 124.203	   2.604%	 114.775	  -5.000%	 123.737
      47	   0.000%	 117.826	  -1.183%	 119.220	  -6.906%	 125.963	  -1.804%	 119.952	   0.717%	 116.981	   7.018%	 109.557	  13.689%	 101.696	   4.288%	 112.774	   4.206%	 112.870	  -4.343%	 122.943	  -6.389%	 125.354	   1.914%	 115.571	  -5.936%	 124.820
      48	   0.000%	 118.238	  -0.960%	 119.373	  -6.734%	 126.201	  -1.024%	 119.449	   0.891%	 117.184	  11.216%	 104.977	  17.748%	  97.253	   8.121%	 108.636	   8.230%	 108.507	  -0.484%	 118.810	  -2.258%	 120.908	   6.199%	 110.908	  -1.794%	 120.359
      49	   0.000%	 118.533	  -0.881%	 119.577	  -6.410%	 126.131	  -2.228%	 121.174	   0.998%	 117.350	   8.361%	 108.622	  14.593%	 101.236	   5.426%	 112.102	   5.109%	 112.477	  -3.655%	 122.865	  -5.387%	 124.918	   3.115%	 114.841	  -5.054%	 124.523
      50	   0.000%	 118.983	  -0.651%	 119.757	  -6.955%	 127.258	   0.689%	 118.163	   1.326%	 117.405	   7.611%	 109.927	  14.077%	 102.234	   4.813%	 113.256	   4.893%	 113.161	  -4.126%	 123.892	  -5.959%	 126.073	   2.610%	 115.878	  -5.611%	 125.659
      51	   0.000%	 119.339	  -0.393%	 119.809	  -6.658%	 127.285	  -1.945%	 121.660	   1.115%	 118.009	   7.279%	 110.652	  13.630%	 103.073	   4.316%	 114.189	   3.985%	 114.584	  -4.494%	 124.703	  -6.331%	 126.894	   2.032%	 116.914	  -5.935%	 126.422
      52	   0.000%	 119.716	  -0.656%	 120.501	  -6.633%	 127.656	  -1.240%	 121.201	   1.241%	 118.230	  11.027%	 106.515	  17.539%	  98.718	   8.297%	 109.782	   8.187%	 109.914	  -0.579%	 120.409	  -2.354%	 122.534	   6.137%	 112.369	  -2.089%	 122.217
      53	   0.000%	 119.734	  -0.852%	 120.754	  -6.766%	 127.835	  -2.641%	 122.896	   1.037%	 118.492	   7.676%	 110.544	  14.387%	 102.508	   4.953%	 113.804	   4.690%	 114.118	  -3.833%	 124.323	  -5.637%	 126.484	   2.913%	 116.247	  -4.944%	 125.653
      54	   0.000%	 119.916	  -0.912%	 121.010	  -7.028%	 128.344	   0.273%	 119.588	   1.017%	 118.696	   7.305%	 111.156	  13.375%	 103.877	   4.450%	 114.579	   3.946%	 115.184	  -4.532%	 125.350	  -6.400%	 127.590	   2.112%	 117.383	  -5.635%	 126.673
      55	   0.000%	 120.015	  -1.140%	 121.384	  -7.275%	 128.746	  -2.353%	 122.839	   0.531%	 119.379	   6.427%	 112.302	  12.456%	 105.066	   3.548%	 115.757	   3.336%	 116.011	  -4.988%	 126.001	  -7.258%	 128.727	   1.086%	 118.712	  -6.623%	 127.964
      56	   0.000%	 120.815	  -0.503%	 121.423	  -7.324%	 129.663	  -1.312%	 122.400	   1.215%	 119.347	  10.694%	 107.896	  16.678%	 100.666	   7.961%	 111.197	   7.672%	 111.546	  -0.417%	 121.318	  -2.540%	 123.884	   5.415%	 114.272	  -2.431%	 123.751
      57	   0.000%	 120.863	  -0.780%	 121.806	  -7.422%	 129.834	  -2.618%	 124.027	   1.015%	 119.637	   7.154%	 112.217	  13.421%	 104.643	   4.812%	 115.048	   4.444%	 115.492	  -4.225%	 125.969	  -5.917%	 128.015	   1.949%	 118.508	  -5.398%	 127.387
      58	   0.000%	 121.511	  -0.706%	 122.369	  -7.226%	 130.291	   0.231%	 121.231	   1.171%	 120.088	   6.968%	 113.044	  13.179%	 105.496	   4.162%	 116.454	   3.834%	 116.852	  -4.277%	 126.708	  -6.206%	 129.052	   1.826%	 119.292	  -5.474%	 128.163
      59	   0.000%	 121.385	  -0.809%	 122.367	  -7.771%	 130.818	  -2.347%	 124.234	   1.103%	 120.046	   6.034%	 114.061	  12.134%	 106.657	   3.230%	 117.464	   3.067%	 117.662	  -5.293%	 127.811	  -7.222%	 130.151	   0.986%	 120.189	  -6.775%	 129.609
      60	   0.000%	 121.702	  -0.598%	 122.430	  -7.604%	 130.956	  -1.840%	 123.941	   0.912%	 120.592	  10.262%	 109.214	  16.411%	 101.730	   7.310%	 112.806	   6.895%	 113.311	  -1.086%	 123.024	  -3.345%	 125.773	   4.914%	 115.722	  -2.846%	 125.166
      61	   0.000%	 121.880	  -0.690%	 122.722	  -7.943%	 131.561	  -3.181%	 125.757	   0.729%	 120.991	   7.198%	 113.107	  13.304%	 105.665	   4.232%	 116.723	   3.799%	 117.251	  -4.603%	 127.490	  -6.047%	 129.251	   1.775%	 119.717	  -5.852%	 129.013
      62	   0.000%	 122.539	  -0.562%	 123.228	  -7.464%	 131.685	   0.065%	 122.459	   1.142%	 121.140	   6.536%	 114.529	  12.580%	 107.124	   3.928%	 117.725	   3.643%	 118.075	  -4.547%	 128.111	  -6.388%	 130.366	   1.887%	 120.227	  -6.029%	 129.927
      63	   0.000%	 122.455	  -0.748%	 123.370	  -7.820%	 132.031	  -2.630%	 125.676	   0.946%	 121.297	   5.946%	 115.173	  11.975%	 107.791	   3.039%	 118.734	   2.646%	 119.215	  -5.748%	 129.494	  -7.518%	 131.661	   0.566%	 121.762	  -7.003%	 131.031
      64	   0.000%	 123.074	  -0.514%	 123.707	 -12.958%	 139.022	  -1.768%	 125.249	   1.118%	 121.697	   9.908%	 110.879	  15.876%	 103.534	   3.387%	 118.906	   2.420%	 120.096	  -9.693%	 135.004	  -6.211%	 130.717	  11.068%	 109.452	  -7.412%	 132.196
      65	   0.000%	 123.054	  -1.046%	 124.342	 -18.325%	 145.604	  -3.314%	 127.132	   0.766%	 122.112	   6.400%	 115.178	  12.530%	 107.636	   3.213%	 119.101	   2.051%	 120.530	 -13.764%	 139.992	  -6.167%	 130.643	   7.767%	 113.496	  -7.296%	 132.033
      66	   0.000%	 123.796	  -0.448%	 124.351	 -23.039%	 152.317	   0.023%	 123.768	   1.283%	 122.208	   6.070%	 116.281	  12.229%	 108.657	   3.551%	 119.400	   2.377%	 120.853	 -16.522%	 144.250	  -5.504%	 130.610	   7.470%	 114.549	  -6.695%	 132.084
      67	   0.000%	 123.761	  -0.490%	 124.367	 -28.565%	 159.113	  -2.810%	 127.238	   0.888%	 122.662	   5.228%	 117.290	  11.206%	 109.893	   3.417%	 119.532	   2.205%	 121.033	 -20.740%	 149.428	  -5.744%	 130.870	   6.436%	 115.796	  -6.574%	 131.897
      68	   0.000%	 123.896	  -0.846%	 124.944	 -28.987%	 159.809	  -2.402%	 126.872	   0.726%	 122.996	   9.060%	 112.671	  14.937%	 105.389	   2.938%	 120.255	   1.870%	 121.579	 -21.206%	 150.169	  -6.307%	 131.710	   7.920%	 114.083	  -7.137%	 132.738
      69	   0.000%	 124.543	  -0.678%	 125.387	 -29.920%	 161.806	  -3.084%	 128.384	   1.118%	 123.150	   6.363%	 116.618	  12.375%	 109.131	   3.438%	 120.262	   2.198%	 121.806	 -21.512%	 151.334	  -6.515%	 132.657	   5.179%	 118.093	  -6.443%	 132.567
