memset test:
start	0
end	512
incr	1
ntry	10000
align	3
verbose	0
bytes   	   i386		   i586		   i686		i686fix	
     134	305.616	  2.281	291.012	  2.172	400.804	  2.991	271.280	  2.024
     135	305.622	  2.264	290.141	  2.149	401.387	  2.973	270.871	  2.006
     136	305.518	  2.246	291.548	  2.144	401.370	  2.951	278.704	  2.049
     137	309.578	  2.260	291.267	  2.126	398.547	  2.909	261.511	  1.909
     138	309.628	  2.244	292.277	  2.118	402.123	  2.914	261.377	  1.894
     139	309.574	  2.227	291.023	  2.094	402.070	  2.893	261.389	  1.880
     140	309.505	  2.211	291.361	  2.081	402.044	  2.872	261.502	  1.868
     141	309.665	  2.196	290.778	  2.062	406.125	  2.880	273.593	  1.940
     142	309.640	  2.181	290.827	  2.048	417.112	  2.937	273.893	  1.929
     143	309.715	  2.166	290.484	  2.031	417.332	  2.918	273.886	  1.915
     144	309.711	  2.151	283.741	  1.970	417.491	  2.899	274.965	  1.909
     145	313.775	  2.164	286.024	  1.973	412.696	  2.846	277.803	  1.916
     146	313.768	  2.149	292.642	  2.004	419.893	  2.876	278.716	  1.909
     147	313.786	  2.135	291.577	  1.984	420.031	  2.857	278.560	  1.895
     148	313.739	  2.120	285.921	  1.932	419.894	  2.837	278.004	  1.878
     149	314.095	  2.108	285.604	  1.917	419.068	  2.813	286.117	  1.920
     150	313.891	  2.093	285.715	  1.905	428.291	  2.855	283.989	  1.893
     151	313.879	  2.079	285.764	  1.892	428.446	  2.837	284.830	  1.886
     152	314.025	  2.066	285.366	  1.877	428.426	  2.819	286.222	  1.883
     153	318.081	  2.079	291.355	  1.904	422.508	  2.761	285.551	  1.866
     154	317.843	  2.064	285.791	  1.856	432.704	  2.810	286.964	  1.863
     155	317.798	  2.050	290.930	  1.877	432.478	  2.790	288.321	  1.860
     156	317.808	  2.037	293.088	  1.879	432.747	  2.774	284.746	  1.825
     157	317.658	  2.023	281.319	  1.792	409.602	  2.609	310.510	  1.978
