name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
total_local, 34571.4,,19, 124.261, 126.808, 105.771, 135.743, 131.367,,19, 1, 0.979916, 1.17481, 0.915413, 0.945909,,19, 0,-0.0204959, 0.148797,-0.0924029,-0.057184
total_i486p, 31707.2,,20, 125.341, 132.489, 107.956, 137.795, 128.92,,20, 1, 0.946047, 1.16103, 0.909623, 0.972235,,20, 0,-0.0570296, 0.138698,-0.0993569,-0.0285575
total_lxSimp, 31635.2,,21, 130.019, 137.114, 110.01, 139.46, 133.244,,21, 1, 0.948253, 1.18188, 0.932303, 0.975799,,21, 0,-0.0545712, 0.153894,-0.0726124,-0.0248015
total_lxus, 35082.3,,22, 135.364, 141.989, 111.408, 141.691, 138.195,,22, 1, 0.953336, 1.21503, 0.955347, 0.979509,,22, 0,-0.0489479, 0.176975,-0.0467401,-0.0209196
total_lx_5a_r2, 31312,,23, 133.277, 140.037, 113.686, 143.122, 139.161,,23, 1, 0.951728, 1.17233, 0.931213, 0.957718,,23, 0,-0.0507201, 0.146996,-0.0738686,-0.0441489
ratio_local, 1,,24, 134.767, 142.944, 115.749, 145.097, 144.156,,24, 1, 0.942791, 1.1643, 0.928802, 0.934868,,24, 0,-0.06068, 0.141117,-0.0766553,-0.06967
ratio_i486p, 1.09033,,25, 139.282, 147.623, 117.932, 147.318, 148.613,,25, 1, 0.943498, 1.18104, 0.945454, 0.937218,,25, 0,-0.0598861, 0.153291,-0.0576929,-0.0669871
ratio_lxSimp, 1.09281,,26, 143.972, 152.741, 119.487, 149.683, 153.438,,26, 1, 0.942591, 1.20492, 0.961849, 0.938308,,26, 0,-0.0609057, 0.170067,-0.0396646,-0.0657485
ratio_lxus, 0.985439,,27, 141.336, 149.735, 121.788, 151.474, 154.346,,27, 1, 0.943905, 1.16051, 0.93307, 0.915706,,27, 0,-0.0594292, 0.138308,-0.0717312,-0.0920541
ratio_lx_5a_r2, 1.10409,,28, 144.382, 152.809, 123.541, 153.776, 151.284,,28, 1, 0.944848, 1.16869, 0.938911, 0.954378,,28, 0,-0.0583708, 0.144343,-0.0650637,-0.0478031
