name,ptest -- memcmp,ticks,bytes,local,i386,i686,lxCond,lxDw,compare,bytes,local,i386,i686,lxCond,lxDw,compare (%),bytes,local,i386,i686,lxCond,lxDw
,,,86, 620.869, 619.903, 452.626, 614.964, 446.159,,86, 1, 1.00156, 1.3717, 1.0096, 1.39159,,86, 0, 0.00155453, 0.27098, 0.00951079, 0.281396
,,,87, 623.236, 621.019, 454.728, 616.568, 448.308,,87, 1, 1.00357, 1.37057, 1.01082, 1.3902,,87, 0, 0.00355864, 0.270377, 0.0106996, 0.280678
,,,88, 623.647, 621.642, 454.77, 617.909, 446.935,,88, 1, 1.00323, 1.37135, 1.00929, 1.39539,,88, 0, 0.00321482, 0.270789, 0.00920105, 0.283353
,,,89, 637.783, 624.335, 456.316, 619.917, 449.999,,89, 1, 1.02154, 1.39768, 1.02882, 1.4173,,89, 0, 0.0210854, 0.284528, 0.028012, 0.294433
,,,90, 640.177, 636.927, 458.65, 619.525, 457.847,,90, 1, 1.0051, 1.39579, 1.03334, 1.39823,,90, 0, 0.00507588, 0.283558, 0.0322602, 0.284812
,,,91, 641.475, 639.385, 460.323, 634.037, 460.045,,91, 1, 1.00327, 1.39353, 1.01173, 1.39438,,91, 0, 0.00325836, 0.282399, 0.0115946, 0.282833
,,,92, 643.644, 640.249, 461.215, 635.931, 458.211,,92, 1, 1.0053, 1.39554, 1.01213, 1.40469,,92, 0, 0.00527444, 0.283432, 0.0119832, 0.288099
,,,93, 645.453, 642.901, 462.299, 637.252, 461.561,,93, 1, 1.00397, 1.39618, 1.01287, 1.39841,,93, 0, 0.00395339, 0.283761, 0.0127049, 0.284903
,,,94, 658.816, 645.156, 462.867, 639.083, 463.4,,94, 1, 1.02117, 1.42334, 1.03088, 1.4217,,94, 0, 0.0207345, 0.297425, 0.0299515, 0.296617
,,,95, 660.809, 658.114, 464.852, 641.083, 465.039,,95, 1, 1.0041, 1.42155, 1.03077, 1.42098,,95, 0, 0.00407891, 0.296541, 0.0298515, 0.296259
,,,96, 662.838, 663.497, 456.457, 642.758, 463.042,,96, 1, 0.999008, 1.45214, 1.03124, 1.43149,,96, 0,-0.000993018, 0.31136, 0.030294, 0.301426
,,,97, 664.375, 665.619, 457.878, 660.571, 466.613,,97, 1, 0.998131, 1.45099, 1.00576, 1.42382,,97, 0,-0.00187221, 0.310815, 0.00572516, 0.297666
,,,98, 671.141, 663.106, 466.561, 662.574, 467.292,,98, 1, 1.01212, 1.43849, 1.01293, 1.43623,,98, 0, 0.0119728, 0.304825, 0.0127653, 0.303735
,,,99, 667.162, 668.198, 466.341, 664.631, 467.651,,99, 1, 0.998449, 1.43063, 1.00381, 1.42662,,99, 0,-0.00155335, 0.301007, 0.00379359, 0.299044
,,,100, 669.086, 669.448, 464.899, 666.642, 466.661,,100, 1, 0.99946, 1.43921, 1.00367, 1.43377,,100, 0,-0.000539956, 0.305174, 0.00365342, 0.302539
,,,101, 668.49, 670.823, 466.908, 664.934, 467.494,,101, 1, 0.996522, 1.43174, 1.00535, 1.42994,,101, 0,-0.00348996, 0.301548, 0.00531864, 0.300672
,,,102, 686.861, 667.652, 466.147, 667.637, 478.775,,102, 1, 1.02877, 1.47348, 1.02879, 1.43462,,102, 0, 0.0279655, 0.321337, 0.0279878, 0.302952
,,,103, 689.021, 684.713, 466.892, 667.345, 477.648,,103, 1, 1.00629, 1.47576, 1.03248, 1.44253,,103, 0, 0.00625205, 0.322384, 0.0314588, 0.306773
,,,104, 690.083, 686.16, 466.9, 682.422, 477.293,,104, 1, 1.00572, 1.47801, 1.01123, 1.44583,,104, 0, 0.00568392, 0.323415, 0.0111009, 0.308354
,,,105, 691.373, 688.248, 466.037, 683.765, 479.789,,105, 1, 1.00454, 1.48352, 1.01113, 1.441,,105, 0, 0.0045204, 0.325926, 0.0110038, 0.306035
,,,106, 691.974, 688.391, 480.426, 689.997, 480.268,,106, 1, 1.0052, 1.44033, 1.00287, 1.44081,,106, 0, 0.00517798, 0.305717, 0.00285734, 0.305946
,,,107, 691.316, 689.887, 480.372, 686.663, 479.971,,107, 1, 1.00207, 1.43913, 1.00678, 1.44033,,107, 0, 0.00206675, 0.305134, 0.00672981, 0.305714
,,,108, 693.373, 690.235, 479.98, 691.354, 479.29,,108, 1, 1.00455, 1.44459, 1.00292, 1.44667,,108, 0, 0.004527, 0.307761, 0.00291215, 0.308756
,,,109, 694.486, 691.697, 479.331, 687.59, 479.513,,109, 1, 1.00403, 1.44886, 1.01003, 1.44831,,109, 0, 0.00401597, 0.309804, 0.00992878, 0.309542
,,,110, 695.19, 690.869, 479.963, 688.33, 489.94,,110, 1, 1.00625, 1.44842, 1.00997, 1.41893,,110, 0, 0.0062159, 0.309595, 0.00986731, 0.295242
,,,111, 694.999, 690.726, 479.839, 688.431, 491.826,,111, 1, 1.00619, 1.4484, 1.00954, 1.4131,,111, 0, 0.00614835, 0.309583, 0.00944926, 0.292335
,,,112, 695.206, 692.841, 480.093, 686.931, 491.313,,112, 1, 1.00341, 1.44806, 1.01205, 1.415,,112, 0, 0.00340139, 0.309423, 0.011902, 0.293284
,,,113, 715.154, 692.093, 480.348, 689.455, 491.798,,113, 1, 1.03332, 1.48882, 1.03727, 1.45416,,113, 0, 0.0322456, 0.328329, 0.035935, 0.312319
,,,114, 714.807, 714.426, 479.098, 694.114, 492.114,,114, 1, 1.00053, 1.49199, 1.02981, 1.45252,,114, 0, 0.000533073, 0.329753, 0.0289486, 0.311543
,,,115, 715.83, 715.773, 479.449, 694.298, 491.718,,115, 1, 1.00008, 1.49303, 1.03101, 1.45577,,115, 0, 7.96303e-05, 0.330219, 0.0300802, 0.31308
,,,116, 717.083, 716.148, 490.754, 712.82, 492.128,,116, 1, 1.0013, 1.46118, 1.00598, 1.45711,,116, 0, 0.00130319, 0.315624, 0.00594442, 0.313709
,,,117, 718.385, 716.399, 490.16, 713.259, 491.936,,117, 1, 1.00277, 1.46561, 1.00719, 1.46032,,117, 0, 0.00276474, 0.317692, 0.00713572, 0.31522
,,,118, 718.233, 715.973, 490.347, 713.586, 490.933,,118, 1, 1.00316, 1.46475, 1.00651, 1.463,,118, 0, 0.00314715, 0.317288, 0.00647132, 0.316472
,,,119, 719.337, 716.797, 493.049, 713.348, 491.273,,119, 1, 1.00354, 1.45896, 1.0084, 1.46423,,119, 0, 0.00353156, 0.314579, 0.00832586, 0.317047
,,,120, 718.8, 717.991, 490.646, 714.177, 490.921,,120, 1, 1.00113, 1.46501, 1.00647, 1.46419,,120, 0, 0.00112443, 0.317409, 0.00643157, 0.317027
,,,121, 718.607, 716.733, 489.641, 714.112, 504.247,,121, 1, 1.00261, 1.46762, 1.0063, 1.42511,,121, 0, 0.00260795, 0.318625, 0.00625599, 0.2983
,,,122, 718.159, 716.46, 489.272, 713.754, 504.447,,122, 1, 1.00237, 1.46781, 1.00617, 1.42365,,122, 0, 0.00236519, 0.318713, 0.00613312, 0.297583
,,,123, 718.946, 715.463, 493.505, 713.891, 503.97,,123, 1, 1.00487, 1.45682, 1.00708, 1.42657,,123, 0, 0.004845, 0.313571, 0.00703114, 0.299016
,,,124, 717.293, 716.493, 488.198, 714.155, 503.971,,124, 1, 1.00112, 1.46927, 1.00439, 1.42328,,124, 0, 0.00111504, 0.319388, 0.00437453, 0.297399
,,,125, 716.422, 715.88, 491.91, 713.747, 503.843,,125, 1, 1.00076, 1.45641, 1.00375, 1.42191,,125, 0, 0.000755925, 0.313379, 0.00373344, 0.296722
,,,126, 717.418, 715.893, 487.666, 712.921, 503.921,,126, 1, 1.00213, 1.47113, 1.00631, 1.42367,,126, 0, 0.00212616, 0.320249, 0.00626952, 0.297592
,,,127, 718.559, 715.071, 488.061, 712.33, 503.89,,127, 1, 1.00488, 1.47227, 1.00874, 1.42603,,127, 0, 0.00485527, 0.320779, 0.00866882, 0.29875
,,,128, 716.855, 714.994, 476.754, 712.134, 503.544,,128, 1, 1.0026, 1.50362, 1.00663, 1.42362,,128, 0, 0.00259638, 0.334937, 0.00658602, 0.297565

