name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
,,,105, 269.059, 269.868, 231.22, 206.585, 204.631,,105, 1, 0.997, 1.16365, 1.30241, 1.31485,,105, 0,-0.00300867, 0.140635, 0.232193, 0.239457
,,,106, 270.853, 274.548, 233.446, 208.609, 207.118,,106, 1, 0.986542, 1.16024, 1.29838, 1.30773,,106, 0,-0.0136416, 0.13811, 0.229808, 0.235313
,,,107, 272.965, 274.268, 235.016, 211.082, 209.578,,107, 1, 0.995252, 1.16148, 1.29317, 1.30245,,107, 0,-0.00477048, 0.139027, 0.226708, 0.232217
,,,108, 263.494, 248.118, 225.683, 200.683, 199.166,,108, 1, 1.06197, 1.16754, 1.31299, 1.32299,,108, 0, 0.0583532, 0.143499, 0.238379, 0.244134
,,,109, 271.011, 271.608, 233.453, 208.679, 207.025,,109, 1, 0.997801, 1.16088, 1.2987, 1.30907,,109, 0,-0.00220351, 0.138586, 0.229999, 0.236101
,,,110, 273.054, 276.555, 234.953, 210.952, 209.495,,110, 1, 0.987341, 1.16217, 1.29439, 1.30339,,110, 0,-0.0128215, 0.139538, 0.227434, 0.232771
,,,111, 274.765, 276.492, 237.143, 213.26, 211.384,,111, 1, 0.993754, 1.15865, 1.2884, 1.29984,,111, 0,-0.00628522, 0.136924, 0.223844, 0.230673
,,,112, 265.231, 249.795, 227.436, 202.96, 200.869,,112, 1, 1.06179, 1.16618, 1.30681, 1.32042,,112, 0, 0.0581982, 0.142498, 0.234778, 0.242663
,,,113, 272.831, 275.537, 234.772, 211.123, 209.799,,113, 1, 0.990179, 1.16211, 1.29228, 1.30044,,113, 0,-0.00991794, 0.139495, 0.226175, 0.231028
,,,114, 274.61, 280.456, 237.137, 213.229, 211.396,,114, 1, 0.979154, 1.15802, 1.28787, 1.29903,,114, 0,-0.0212901, 0.136458, 0.223521, 0.230196
