name,ptest -- memset,ticks,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare (%),bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA
total_i586, 20214.1,,21, 88.1845, 89.1938, 75.5212, 72.4277, 73.3744, 70.3135, 68.3255, 73.3284, 73.3266, 84.1314, 81.8689, 77.9214, 81.8824,,21, 1, 0.988684, 1.16768, 1.21755, 1.20184, 1.25416, 1.29065, 1.2026, 1.20263, 1.04818, 1.07714, 1.13171, 1.07696,,21, 0,-0.0114456, 0.1436, 0.17868, 0.167944, 0.202654, 0.225198, 0.168466, 0.168486, 0.0459612, 0.0716177, 0.116382, 0.0714642
total_i686, 10841.5,,22, 89.2099, 90.2427, 76.5151, 73.4136, 74.3787, 71.316, 69.318, 74.3175, 74.3224, 85.1316, 82.8637, 78.9268, 82.878,,22, 1, 0.988554, 1.16591, 1.21517, 1.1994, 1.25091, 1.28696, 1.20039, 1.20031, 1.04791, 1.07659, 1.13029, 1.0764,,22, 0,-0.0115781, 0.142302, 0.177069, 0.16625, 0.200582, 0.222978, 0.166936, 0.166881, 0.0457152, 0.0711372, 0.115268, 0.0709775
total_i686fix, 10874.6,,23, 90.2277, 91.1882, 77.5476, 75.3732, 75.3753, 72.3283, 70.3236, 75.3215, 75.32, 86.1385, 83.8714, 79.4567, 83.8929,,23, 1, 0.989467, 1.16351, 1.19708, 1.19705, 1.24748, 1.28304, 1.1979, 1.19793, 1.04747, 1.07579, 1.13556, 1.07551,,23, 0,-0.0106454, 0.140534, 0.164633, 0.16461, 0.198381, 0.220599, 0.165206, 0.165224, 0.0453205, 0.0704471, 0.119376, 0.070209
total_lx_zan, 10497.9,,24, 85.193, 86.1803, 72.2408, 70.3572, 70.3761, 67.3248, 65.3215, 70.3198, 70.3283, 81.1683, 78.9077, 74.4253, 78.8802,,24, 1, 0.988543, 1.17929, 1.21086, 1.21054, 1.2654, 1.30421, 1.21151, 1.21136, 1.04958, 1.07965, 1.14468, 1.08003,,24, 0,-0.0115894, 0.152033, 0.174143, 0.173922, 0.209737, 0.233252, 0.174582, 0.174482, 0.0472419, 0.0737762, 0.126391, 0.0740998
total_lx_simp, 10240.6,,25, 89.1194, 90.2469, 76.5277, 73.4163, 74.3802, 71.3187, 69.3175, 74.3269, 74.3258, 85.1398, 82.8899, 78.9251, 82.8838,,25, 1, 0.987507, 1.16454, 1.21389, 1.19816, 1.24959, 1.28567, 1.19902, 1.19904, 1.04674, 1.07515, 1.12916, 1.07523,,25, 0,-0.0126516, 0.141291, 0.176204, 0.165387, 0.19974, 0.222195, 0.165986, 0.165998, 0.0446548, 0.0699007, 0.114389, 0.0699699
total_lx_hyb, 10885.3,,26, 90.3115, 91.2661, 77.5375, 75.377, 75.3702, 72.3241, 70.3219, 75.3277, 75.3186, 86.1455, 83.9027, 79.4274, 83.8675,,26, 1, 0.98954, 1.16475, 1.19813, 1.19824, 1.2487, 1.28426, 1.19891, 1.19906, 1.04836, 1.07638, 1.13703, 1.07684,,26, 0,-0.0105702, 0.141443, 0.165366, 0.165442, 0.19917, 0.22134, 0.165912, 0.166013, 0.0461292, 0.0709631, 0.120517, 0.0713529
total_lx_hyb_BA, 10885.3,,27, 91.2726, 92.1796, 77.9189, 76.3777, 76.375, 73.3279, 71.3217, 76.3267, 76.3238, 86.4393, 84.4114, 80.3931, 84.415,,27, 1, 0.990161, 1.17138, 1.19502, 1.19506, 1.24472, 1.27973, 1.19582, 1.19586, 1.05592, 1.08128, 1.13533, 1.08124,,27, 0,-0.0099369, 0.146306, 0.163192, 0.163221, 0.196606, 0.218587, 0.16375, 0.163783, 0.0529553, 0.075173, 0.119198, 0.0751336
total_lx_mmx, 13501.1,,28, 86.1995, 87.1716, 73.2554, 71.3557, 71.3564, 68.3134, 66.322, 71.3208, 71.3253, 82.1322, 79.8812, 75.4067, 79.8675,,28, 1, 0.988849, 1.1767, 1.20803, 1.20801, 1.26183, 1.29971, 1.20862, 1.20854, 1.04952, 1.0791, 1.14313, 1.07928,,28, 0,-0.0112763, 0.150165, 0.172204, 0.172196, 0.207497, 0.230599, 0.172608, 0.172556, 0.047185, 0.0732994, 0.125207, 0.0734583
total_lx_mmx64, 12437.2,,29, 90.2808, 91.1783, 77.5445, 75.3719, 75.3679, 72.3285, 70.3298, 75.3292, 75.3229, 86.1462, 83.8994, 79.4178, 83.8795,,29, 1, 0.990157, 1.16425, 1.19781, 1.19787, 1.24821, 1.28368, 1.19848, 1.19858, 1.048, 1.07606, 1.13678, 1.07632,,29, 0,-0.00994097, 0.141075, 0.16514, 0.165184, 0.19885, 0.220989, 0.165612, 0.165683, 0.0457974, 0.070684, 0.120325, 0.0709047
total_lx_mmx64simp, 11842.3,,30, 91.2631, 92.1798, 77.9144, 76.3712, 76.3759, 73.334, 71.3266, 76.3223, 76.3248, 86.446, 84.4247, 80.3977, 84.4175,,30, 1, 0.990055, 1.17133, 1.19499, 1.19492, 1.24449, 1.27951, 1.19576, 1.19572, 1.05572, 1.081, 1.13514, 1.08109,,30, 0,-0.0100451, 0.146266, 0.163175, 0.163124, 0.196455, 0.218451, 0.163711, 0.163684, 0.0527819, 0.0749306, 0.119055, 0.075009
