name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
,,,117, 357.976, 364.381, 263.134, 232.891, 232.857,,117, 1, 0.982423, 1.36043, 1.5371, 1.53732,,117, 0,-0.0178913, 0.264941, 0.349422, 0.349519
,,,118, 359.667, 367.573, 264.893, 234.369, 234.709,,118, 1, 0.978491, 1.35778, 1.53462, 1.53239,,118, 0,-0.0219815, 0.263504, 0.348371, 0.347426
,,,119, 361.933, 372.185, 266.44, 236.529, 236.511,,119, 1, 0.972455, 1.3584, 1.53018, 1.5303,,119, 0,-0.0283257, 0.263842, 0.346483, 0.346533
,,,120, 352.097, 332.815, 257.339, 226.637, 226.622,,120, 1, 1.05794, 1.36822, 1.55357, 1.55367,,120, 0, 0.0547632, 0.269124, 0.356322, 0.356364
,,,121, 359.747, 368.536, 264.917, 234.408, 234.045,,121, 1, 0.976152, 1.35796, 1.5347, 1.53708,,121, 0,-0.0244304, 0.263602, 0.348409, 0.349418
,,,122, 361.945, 371.65, 266.441, 236.366, 236.19,,122, 1, 0.973887, 1.35844, 1.53129, 1.53243,,122, 0,-0.0268134, 0.263863, 0.346955, 0.347442
,,,123, 363.636, 376.062, 268.53, 238.891, 238.551,,123, 1, 0.966957, 1.35417, 1.52218, 1.52435,,123, 0,-0.0341716, 0.261542, 0.343049, 0.343984
,,,124, 354.146, 335.108, 258.804, 228.506, 228.245,,124, 1, 1.05681, 1.36839, 1.54983, 1.5516,,124, 0, 0.0537579, 0.269216, 0.35477, 0.355505
,,,125, 361.948, 370.271, 266.594, 236.29, 235.903,,125, 1, 0.977522, 1.35768, 1.5318, 1.53431,,125, 0,-0.0229949, 0.263448, 0.347173, 0.348241
,,,126, 363.566, 373.297, 268.748, 237.87, 238.232,,126, 1, 0.973933, 1.35282, 1.52843, 1.5261,,126, 0,-0.0267651, 0.260801, 0.345732, 0.344737
,,,127, 366.204, 378.019, 270.98, 240.398, 240.266,,127, 1, 0.968743, 1.35141, 1.52332, 1.52416,,127, 0,-0.0322653, 0.260031, 0.343539, 0.343901
,,,128, 347.7, 329.176, 278.011, 222.913, 223.656,,128, 1, 1.05628, 1.25067, 1.5598, 1.55462,,128, 0, 0.0532772, 0.200428, 0.358894, 0.356756

