name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
testmask,0,,333, 5034.16, 3067.69, 3402.06, 3055.11, 3057.95, 3018.89, 2723.85, 2310.24, 2062.42, 2677.1,,333, 1, 1.64102, 1.47974, 1.64778, 1.64625, 1.66755, 1.84818, 2.17906, 2.4409, 1.88045,,333, 0, 0.390624, 0.324205, 0.393123, 0.39256, 0.400318, 0.458926, 0.541087, 0.590314, 0.468213
clock,500,,366, 5509.95, 3350.97, 3666.38, 3365.67, 3365.39, 3300.19, 2963.94, 2522.48, 2256.87, 2925.49,,366, 1, 1.64429, 1.50283, 1.6371, 1.63724, 1.66959, 1.85899, 2.18434, 2.44141, 1.88343,,366, 0, 0.391834, 0.334589, 0.389164, 0.389216, 0.401049, 0.462074, 0.542196, 0.5904, 0.469053
=====,,,399, 5994.81, 3652.75, 3977.11, 3634.4, 3627.73, 3592.61, 3216.01, 2710.17, 2435.53, 3175.81,,399, 1, 1.64117, 1.50733, 1.64946, 1.6525, 1.66865, 1.86405, 2.21197, 2.46139, 1.88765,,399, 0, 0.39068, 0.336574, 0.393742, 0.394854, 0.400713, 0.463533, 0.547914, 0.593726, 0.47024
Totals:,,,432, 6483.95, 3916.4, 4294.75, 3911.76, 3912.3, 3871.45, 3471.13, 2936.54, 2621.45, 3405.91,,432, 1, 1.65559, 1.50974, 1.65755, 1.65733, 1.67481, 1.86796, 2.20802, 2.47342, 1.90374,,432, 0, 0.395986, 0.337634, 0.396702, 0.396618, 0.402919, 0.464658, 0.547107, 0.595701, 0.474717
total_bytes, 64638,,465, 6947.96, 4188.28, 4587.38, 4173.1, 4144.94, 4136.81, 3731.48, 3140.59, 2791.15, 3647.5,,465, 1, 1.6589, 1.51458, 1.66494, 1.67625, 1.67955, 1.86198, 2.21231, 2.48928, 1.90486,,465, 0, 0.397192, 0.339751, 0.399377, 0.40343, 0.404601, 0.462939, 0.547984, 0.598277, 0.475026
best_test,i686_r2,,498, 7452.05, 4405.7, 4914.12, 4426.33, 4433.27, 4399.92, 3946.6, 3353.11, 2964.76, 3870.33,,498, 1, 1.69146, 1.51646, 1.68357, 1.68093, 1.69368, 1.88822, 2.22243, 2.51354, 1.92543,,498, 0, 0.408793, 0.340568, 0.406025, 0.405093, 0.409569, 0.470401, 0.550042, 0.602154, 0.480635
best_total, 329418,,531, 7823.51, 4703.52, 5176.53, 4685.7, 4707.56, 4654.5, 4184.84, 3539.9, 3147.53, 4101.4,,531, 1, 1.66333, 1.51134, 1.66965, 1.6619, 1.68085, 1.86949, 2.2101, 2.4856, 1.90752,,531, 0, 0.398796, 0.338336, 0.401074, 0.39828, 0.405062, 0.465093, 0.547531, 0.597683, 0.475759
worst_test,local,,564, 8209.85, 4934.88, 5441.52, 4934.79, 4936.04, 4904.31, 4405.45, 3729.69, 3323.51, 4326.66,,564, 1, 1.66364, 1.50874, 1.66367, 1.66325, 1.67401, 1.86357, 2.20121, 2.47024, 1.8975,,564, 0, 0.398908, 0.337196, 0.398918, 0.398767, 0.402632, 0.463394, 0.545705, 0.59518, 0.472991
worst_total, 821553,,597, 8658.44, 5233.7, 5740.76, 5214.08, 5205.54, 5178.24, 4637.62, 3912.42, 3500.57, 4564.35,,597, 1, 1.65436, 1.50824, 1.66059, 1.66331, 1.67208, 1.867, 2.21307, 2.47343, 1.89697,,597, 0, 0.395538, 0.336975, 0.397804, 0.39879, 0.401944, 0.464382, 0.548138, 0.595704, 0.472843
total_local, 821553,,630, 9213.7, 5531.14, 6036.72, 5496.4, 5557.89, 5415.66, 4862.97, 4119.16, 3654.44, 4754.34,,630, 1, 1.66579, 1.52628, 1.67632, 1.65777, 1.70131, 1.89467, 2.23679, 2.52123, 1.93795,,630, 0, 0.399683, 0.34481, 0.403454, 0.396779, 0.412216, 0.472202, 0.552931, 0.603369, 0.483992
total_local_gg, 498292,,663, 9664.26, 5756.07, 6325.96, 5807.79, 5747.52, 5680.49, 5084.91, 4247.93, 3792.8, 5002.03,,663, 1, 1.67897, 1.52771, 1.66402, 1.68146, 1.70131, 1.90057, 2.27505, 2.54805, 1.93207,,663, 0, 0.404396, 0.345427, 0.399044, 0.40528, 0.412216, 0.473843, 0.560449, 0.607544, 0.482419
total_generic, 547498,,696, 10041, 6013.49, 6638.7, 6013.91, 5997.73, 5955.93, 5314.2, 4459.5, 3939.02, 5221.78,,696, 1, 1.66974, 1.51249, 1.66962, 1.67412, 1.68587, 1.88946, 2.25159, 2.5491, 1.9229,,696, 0, 0.401104, 0.338837, 0.401062, 0.402673, 0.406836, 0.470747, 0.555869, 0.607704, 0.479952
total_i386, 498385,,729, 10518, 6265.82, 7007.67, 6244.36, 6264.71, 6226.53, 5571.24, 4664.58, 4120.29, 5427.23,,729, 1, 1.67863, 1.50093, 1.6844, 1.67893, 1.68923, 1.88791, 2.25487, 2.55274, 1.93801,,729, 0, 0.404277, 0.333746, 0.406317, 0.404383, 0.408013, 0.470314, 0.556515, 0.608263, 0.484006
total_i486, 498294,,762, 10851.4, 6552.35, 7189.11, 6549.83, 6544.86, 6494.56, 5794.65, 4857.77, 4276.29, 5645.83,,762, 1, 1.65611, 1.50943, 1.65675, 1.65801, 1.67085, 1.87266, 2.23383, 2.53758, 1.92203,,762, 0, 0.396177, 0.337496, 0.396408, 0.396866, 0.401502, 0.466001, 0.552339, 0.605924, 0.479716
total_i686, 493839,,795, 11337.9, 6812.71, 7487.26, 6807.12, 6805.83, 6757.76, 6032.13, 5029.12, 4432.5, 5871.83,,795, 1, 1.66423, 1.51429, 1.66559, 1.66591, 1.67776, 1.87959, 2.25445, 2.5579, 1.9309,,795, 0, 0.399121, 0.339626, 0.399614, 0.399728, 0.403967, 0.467968, 0.556433, 0.609054, 0.482106
total_i686_1i, 440841,,828, 11782.1, 7003.74, 7772.79, 7027.27, 7026.52, 6958.79, 6263.77, 5242.85, 4611.62, 6120.96,,828, 1, 1.68227, 1.51582, 1.67663, 1.67681, 1.69313, 1.881, 2.24728, 2.55488, 1.92489,,828, 0, 0.405564, 0.340291, 0.403566, 0.40363, 0.409379, 0.468368, 0.555017, 0.608592, 0.480489
total_i686_1iu, 370392,,861, 12195.4, 7285.02, 7981.62, 7290.32, 7282.71, 7239.5, 6485.35, 5341.99, 4722.51, 6322.31,,861, 1, 1.67403, 1.52793, 1.67281, 1.67456, 1.68456, 1.88044, 2.28292, 2.58239, 1.92894,,861, 0, 0.402639, 0.345519, 0.402205, 0.402829, 0.406372, 0.468211, 0.561965, 0.612762, 0.48158
total_i686_r2, 329418,,894, 12620.9, 7559.71, 8271.97, 7556.67, 7532.17, 7435.85, 6718.34, 5546.82, 4879.38, 6548.47,,894, 1, 1.6695, 1.52575, 1.67017, 1.6756, 1.69731, 1.87858, 2.27534, 2.58659, 1.92731,,894, 0, 0.401018, 0.344584, 0.401259, 0.4032, 0.410832, 0.467682, 0.560506, 0.61339, 0.481142
total_1dw, 429341,,927, 13087.3, 7771.36, 8531.43, 7760.11, 7758.35, 7683.95, 6884.35, 5699.69, 5058.57, 6785,,927, 1, 1.68404, 1.53401, 1.68648, 1.68686, 1.7032, 1.90102, 2.29614, 2.58714, 1.92885,,927, 0, 0.406189, 0.348112, 0.407048, 0.407183, 0.412868, 0.473966, 0.564486, 0.613473, 0.481557
ratio_local, 1,,960, 13474.1, 8052.5, 8807.1, 8063.22, 8059.96, 8014.16, 7180.79, 5885.25, 5279.47, 7022.24,,960, 1, 1.67328, 1.52992, 1.67106, 1.67174, 1.68129, 1.87641, 2.28947, 2.55217, 1.91878,,960, 0, 0.402373, 0.346369, 0.401578, 0.401819, 0.405219, 0.467068, 0.563219, 0.608177, 0.478835
ratio_local_gg, 1.64874,,993, 13890.1, 8233.15, 9052.83, 8279.92, 8213, 8191.21, 7411.78, 6107.25, 5372.75, 7190.5,,993, 1, 1.68709, 1.53434, 1.67756, 1.69123, 1.69573, 1.87406, 2.27436, 2.58529, 1.93173,,993, 0, 0.407265, 0.348253, 0.403897, 0.408715, 0.410284, 0.466398, 0.560316, 0.613196, 0.482329
ratio_generic, 1.50056,,1026, 14345.6, 8467.98, 9335.59, 8464.94, 8494.2, 8378.57, 7554.74, 6268.39, 5564.44, 7436.7,,1026, 1, 1.6941, 1.53666, 1.69471, 1.68888, 1.71218, 1.89889, 2.28857, 2.57809, 1.92903,,1026, 0, 0.409718, 0.349238, 0.40993, 0.40789, 0.41595, 0.473377, 0.563046, 0.612116, 0.481605
