name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
,,,110, 147.411, 127.292, 131.084, 143.851, 134.77,,110, 1, 1.15805, 1.12455, 1.02475, 1.0938,,110, 0, 0.136482, 0.110756, 0.0241497, 0.0857531
,,,111, 149.593, 129.2, 133.395, 146.015, 136.756,,111, 1, 1.15784, 1.12143, 1.02451, 1.09386,,111, 0, 0.136324, 0.108278, 0.0239204, 0.0858102
,,,112, 143.046, 122.242, 127.112, 138.804, 128.915,,112, 1, 1.17019, 1.12535, 1.03056, 1.10962,,112, 0, 0.145435, 0.111391, 0.0296583, 0.0987893
,,,113, 147.335, 127.487, 131.107, 143.887, 134.841,,113, 1, 1.15569, 1.12378, 1.02396, 1.09266,,113, 0, 0.134718, 0.110144, 0.023404, 0.0847986
,,,114, 149.586, 129.24, 133.424, 146.063, 136.814,,114, 1, 1.15743, 1.12114, 1.02412, 1.09336,,114, 0, 0.136017, 0.108048, 0.0235537, 0.0853865
,,,115, 151.579, 131.32, 135.476, 147.975, 138.282,,115, 1, 1.15427, 1.11886, 1.02435, 1.09616,,115, 0, 0.133649, 0.106234, 0.0237715, 0.0877204
,,,116, 145.351, 125.243, 128.283, 140.73, 131.131,,116, 1, 1.16056, 1.13305, 1.03284, 1.10844,,116, 0, 0.138346, 0.117429, 0.0317964, 0.0978321
,,,117, 149.646, 129.5, 133.42, 146.097, 136.804,,117, 1, 1.15557, 1.12162, 1.02429, 1.09387,,117, 0, 0.134623, 0.108431, 0.0237122, 0.0858169
,,,118, 151.64, 131.38, 135.41, 147.944, 138.315,,118, 1, 1.15421, 1.11986, 1.02498, 1.09634,,118, 0, 0.133603, 0.107029, 0.0243708, 0.0878703
,,,119, 153.782, 133.73, 137.359, 149.933, 140.43,,119, 1, 1.14994, 1.11956, 1.02567, 1.09507,,119, 0, 0.130392, 0.106789, 0.0250242, 0.0868199
,,,120, 146.373, 127.405, 130.101, 142.955, 133.843,,120, 1, 1.14887, 1.12507, 1.02391, 1.09361,,120, 0, 0.129582, 0.111167, 0.0233474, 0.0856002
,,,121, 151.648, 131.373, 135.453, 147.971, 138.309,,121, 1, 1.15434, 1.11956, 1.02485, 1.09645,,121, 0, 0.1337, 0.106796, 0.0242463, 0.087962
,,,122, 153.752, 133.702, 137.414, 149.939, 140.348,,122, 1, 1.14996, 1.11889, 1.02543, 1.0955,,122, 0, 0.130404, 0.106261, 0.0248, 0.0871763
,,,123, 155.742, 135.681, 139.693, 151.439, 142.528,,123, 1, 1.14786, 1.11489, 1.02841, 1.09271,,123, 0, 0.12881, 0.103048, 0.0276256, 0.0848435
,,,124, 148.652, 128.511, 132.328, 145.081, 135.852,,124, 1, 1.15672, 1.12336, 1.02461, 1.09422,,124, 0, 0.135486, 0.109811, 0.0240226, 0.0861029
,,,125, 153.771, 133.732, 137.42, 149.958, 140.381,,125, 1, 1.14984, 1.11898, 1.02542, 1.09538,,125, 0, 0.130314, 0.106331, 0.0247939, 0.0870724
,,,126, 155.789, 135.707, 139.868, 151.278, 142.532,,126, 1, 1.14798, 1.11383, 1.02982, 1.09302,,126, 0, 0.128905, 0.1022, 0.0289576, 0.0850996
,,,127, 158.023, 137.793, 141.859, 153.754, 144.005,,127, 1, 1.14681, 1.11394, 1.02776, 1.09734,,127, 0, 0.128017, 0.102289, 0.0270148, 0.0887081
,,,128, 142.931, 122.312, 127.301, 133.064, 129.096,,128, 1, 1.16857, 1.12278, 1.07415, 1.10716,,128, 0, 0.144254, 0.109352, 0.0690328, 0.0967921

