name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
,,,48, 266.083, 235.99, 195.678, 188.276, 186.618,,48, 1, 1.12752, 1.3598, 1.41325, 1.42581,,48, 0, 0.113096, 0.264598, 0.292413, 0.298646
,,,49, 269.225, 241.817, 204.963, 196.705, 195.221,,49, 1, 1.11334, 1.31353, 1.36868, 1.37908,,49, 0, 0.101804, 0.238695, 0.269368, 0.274878
,,,50, 271.361, 245.71, 209.285, 199.465, 198.301,,50, 1, 1.1044, 1.29661, 1.36044, 1.36843,,50, 0, 0.0945277, 0.228759, 0.264946, 0.269235
,,,51, 273.756, 254.378, 213.003, 202.552, 200.28,,51, 1, 1.07618, 1.28522, 1.35153, 1.36687,,51, 0, 0.0707842, 0.221923, 0.260099, 0.268401
,,,52, 276.248, 246.355, 205.963, 194.59, 191.993,,52, 1, 1.12134, 1.34125, 1.41964, 1.43884,,52, 0, 0.108211, 0.254426, 0.295596, 0.304998
,,,53, 279.075, 252.006, 215.62, 203.832, 201.199,,53, 1, 1.10742, 1.29429, 1.36915, 1.38706,,53, 0, 0.096997, 0.227377, 0.269617, 0.27905
,,,54, 281.831, 256.403, 219.567, 206.482, 203.81,,54, 1, 1.09917, 1.28358, 1.36492, 1.38281,,54, 0, 0.090222, 0.220927, 0.267355, 0.276837
,,,55, 284.377, 264.325, 222.998, 209.202, 206.316,,55, 1, 1.07586, 1.27524, 1.35934, 1.37836,,55, 0, 0.0705143, 0.215836, 0.26435, 0.274499
,,,56, 287.25, 256.486, 216.513, 201.923, 198.395,,56, 1, 1.11995, 1.32671, 1.42257, 1.44787,,56, 0, 0.107099, 0.246256, 0.297049, 0.30933
,,,57, 289.14, 262.48, 225.656, 210.332, 206.685,,57, 1, 1.10157, 1.28133, 1.37469, 1.39894,,57, 0, 0.0922045, 0.219561, 0.272562, 0.285175
,,,58, 291.755, 266.258, 230.037, 213.675, 209.565,,58, 1, 1.09576, 1.2683, 1.36542, 1.3922,,58, 0, 0.0873928, 0.211541, 0.267624, 0.28171
,,,59, 294.209, 275.377, 233.745, 216.009, 212.645,,59, 1, 1.06838, 1.25868, 1.36202, 1.38356,,59, 0, 0.0640073, 0.205514, 0.265796, 0.277229
,,,60, 296.961, 266.899, 227.216, 208.401, 204.159,,60, 1, 1.11264, 1.30696, 1.42495, 1.45456,,60, 0, 0.101234, 0.234863, 0.298222, 0.312506
,,,61, 299.328, 272.56, 236.49, 217.225, 212.765,,61, 1, 1.09821, 1.26571, 1.37796, 1.40685,,61, 0, 0.0894261, 0.209931, 0.27429, 0.289192
,,,62, 301.867, 276.487, 240.813, 220.464, 215.487,,62, 1, 1.09179, 1.25353, 1.36924, 1.40086,,62, 0, 0.0840753, 0.202254, 0.269666, 0.286152
,,,63, 304.411, 284.837, 244.623, 222.989, 218.286,,63, 1, 1.06872, 1.24441, 1.36514, 1.39455,,63, 0, 0.0642993, 0.196404, 0.267474, 0.282922
,,,64, 307.135, 276.804, 229.203, 191.765, 191.624,,64, 1, 1.10957, 1.34001, 1.60162, 1.6028,,64, 0, 0.0987534, 0.253737, 0.375634, 0.376093
,,,65, 309.355, 282.588, 238.489, 205.592, 204.534,,65, 1, 1.09472, 1.29715, 1.5047, 1.51249,,65, 0, 0.0865268, 0.229078, 0.335417, 0.338839
,,,66, 312.213, 287.015, 240.439, 207.486, 206.503,,66, 1, 1.08779, 1.29851, 1.50474, 1.51191,,66, 0, 0.0807078, 0.229888, 0.335434, 0.338585
