ptest -- strlen version 1.0
start	1	end	128
incr	1	ntry	1000000
align	31	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i486	        	   i486p	        	  lxSimp	        	    lxus	        
      82	   0.000%	 290.167	   1.299%	 286.397	  -3.894%	 301.467	  15.215%	 246.018	  -2.175%	 296.478
      83	   0.000%	 292.400	   1.333%	 288.501	  -3.826%	 303.587	  15.218%	 247.902	  -2.023%	 298.315
      84	   0.000%	 294.068	   1.224%	 290.468	  -3.772%	 305.160	  14.867%	 250.348	  -2.083%	 300.193
      85	   0.000%	 296.610	   1.345%	 292.621	  -3.524%	 307.063	  14.878%	 252.479	  -2.099%	 302.837
      86	   0.000%	 298.529	   1.145%	 295.111	  -3.542%	 309.102	  14.680%	 254.706	  -2.094%	 304.781
      87	   0.000%	 301.285	   1.305%	 297.353	  -3.269%	 311.133	  14.762%	 256.810	  -1.824%	 306.781
      88	   0.000%	 303.550	   1.289%	 299.638	  -3.529%	 314.262	  14.662%	 259.042	  -1.589%	 308.373
      89	   0.000%	 306.201	   1.391%	 301.942	  -3.637%	 317.338	  14.583%	 261.549	  -1.350%	 310.336
      90	   0.000%	 308.609	   1.317%	 304.546	  -3.916%	 320.693	  14.592%	 263.577	  -1.269%	 312.524
      91	   0.000%	 310.878	   1.315%	 306.790	  -4.136%	 323.734	  14.523%	 265.730	  -1.078%	 314.230
      92	   0.000%	 313.436	   1.336%	 309.250	  -4.144%	 326.423	  14.387%	 268.341	  -0.909%	 316.284
      93	   0.000%	 315.739	   1.089%	 312.302	  -4.085%	 328.636	  14.332%	 270.488	  -0.925%	 318.659
      94	   0.000%	 318.820	   1.312%	 314.638	  -3.847%	 331.086	  14.525%	 272.511	   0.064%	 318.616
      95	   0.000%	 321.703	   1.291%	 317.549	  -3.807%	 333.950	  14.621%	 274.667	   0.967%	 318.591
      96	   0.000%	 323.431	   1.163%	 319.670	  -3.948%	 336.201	  14.336%	 277.065	  -4.104%	 336.706
      97	   0.000%	 325.451	   1.070%	 321.970	  -4.138%	 338.917	  14.335%	 278.796	  -3.944%	 338.286
      98	   0.000%	 328.069	   1.256%	 323.948	  -3.980%	 341.126	  14.266%	 281.265	  -3.667%	 340.098
      99	   0.000%	 330.000	   1.086%	 326.417	  -4.087%	 343.486	  14.157%	 283.281	  -3.707%	 342.232
     100	   0.000%	 331.996	   1.179%	 328.080	  -3.929%	 345.038	  13.996%	 285.530	  -3.864%	 344.825
     101	   0.000%	 334.430	   1.239%	 330.285	  -3.785%	 347.088	  13.802%	 288.273	  -4.951%	 350.988
     102	   0.000%	 336.781	   1.319%	 332.340	  -3.580%	 348.838	  13.764%	 290.426	  -5.396%	 354.953
     103	   0.000%	 339.183	   1.130%	 335.350	  -3.500%	 351.053	  13.789%	 292.411	  -5.280%	 357.091
     104	   0.000%	 341.469	   1.121%	 337.643	  -3.765%	 354.327	  13.718%	 294.627	  -5.182%	 359.164
     105	   0.000%	 343.887	   1.177%	 339.840	  -4.002%	 357.649	  13.679%	 296.848	  -4.919%	 360.803
     106	   0.000%	 346.125	   1.106%	 342.297	  -4.173%	 360.568	  13.671%	 298.807	  -4.854%	 362.926
     107	   0.000%	 348.339	   1.115%	 344.456	  -4.344%	 363.471	  13.502%	 301.306	  -4.811%	 365.098
     108	   0.000%	 350.993	   1.107%	 347.108	  -4.260%	 365.943	  13.467%	 303.723	  -4.634%	 367.259
