name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
,,,43, 95.2407, 77.3967, 80.402, 88.9541, 82.4124,,43, 1, 1.23055, 1.18456, 1.07067, 1.15566,,43, 0, 0.187357, 0.155802, 0.0660076, 0.134693
,,,44, 91.4149, 73.4101, 76.4005, 84.4949, 78.4075,,44, 1, 1.24526, 1.19652, 1.0819, 1.16589,,44, 0, 0.196957, 0.164245, 0.0756993, 0.14229
,,,45, 95.2407, 77.4007, 80.4053, 88.949, 82.4029,,45, 1, 1.23049, 1.18451, 1.07073, 1.15579,,45, 0, 0.187315, 0.155767, 0.0660616, 0.134793
,,,46, 96.2902, 78.3985, 81.4087, 89.9594, 83.4017,,46, 1, 1.22821, 1.1828, 1.07037, 1.15454,,46, 0, 0.18581, 0.154548, 0.0657474, 0.133851
,,,47, 97.2656, 79.3979, 82.397, 90.9539, 84.3992,,47, 1, 1.22504, 1.18045, 1.06939, 1.15245,,47, 0, 0.1837, 0.152866, 0.0648911, 0.132281
,,,48, 92.3368, 74.4024, 77.3988, 85.5109, 79.4052,,48, 1, 1.24105, 1.193, 1.07982, 1.16286,,48, 0, 0.194228, 0.161777, 0.073924, 0.140049
,,,49, 96.2946, 78.4011, 81.4048, 89.9477, 83.4017,,49, 1, 1.22823, 1.18291, 1.07056, 1.15459,,49, 0, 0.185821, 0.154628, 0.0659114, 0.13389
,,,50, 97.2695, 79.4029, 82.3959, 90.9511, 84.4042,,50, 1, 1.22501, 1.18051, 1.06947, 1.15242,,50, 0, 0.183681, 0.152911, 0.064958, 0.132264
,,,51, 98.3675, 79.4499, 83.4055, 91.9477, 85.4013,,51, 1, 1.23811, 1.17939, 1.06982, 1.15183,,51, 0, 0.192315, 0.152103, 0.0652641, 0.131814
,,,52, 93.3303, 75.3995, 78.3994, 86.9711, 80.4144,,52, 1, 1.23781, 1.19045, 1.07312, 1.16062,,52, 0, 0.192121, 0.159979, 0.0681358, 0.138388
,,,53, 97.2592, 79.4005, 82.4071, 90.9477, 84.4065,,53, 1, 1.22492, 1.18023, 1.0694, 1.15227,,53, 0, 0.18362, 0.152706, 0.0648931, 0.132148
,,,54, 97.545, 80.4077, 83.3977, 91.9645, 85.4038,,54, 1, 1.21313, 1.16964, 1.06068, 1.14216,,54, 0, 0.175686, 0.145033, 0.0572089, 0.124467
,,,55, 99.4241, 81.4056, 84.3942, 92.489, 86.4016,,55, 1, 1.22134, 1.17809, 1.07498, 1.15072,,55, 0, 0.181229, 0.15117, 0.0697534, 0.13098
,,,56, 94.3338, 76.3973, 79.4028, 87.9559, 81.4208,,56, 1, 1.23478, 1.18804, 1.07251, 1.1586,,56, 0, 0.190138, 0.158278, 0.0676097, 0.136886
,,,57, 98.3845, 80.4109, 83.3956, 91.9514, 85.3994,,57, 1, 1.22352, 1.17973, 1.06996, 1.15205,,57, 0, 0.182687, 0.15235, 0.065387, 0.131984
,,,58, 99.4126, 81.4075, 84.3979, 92.0168, 86.4032,,58, 1, 1.22117, 1.1779, 1.08037, 1.15057,,58, 0, 0.181115, 0.151034, 0.0743947, 0.130862
,,,59, 100.328, 82.402, 85.4, 93.512, 87.4028,,59, 1, 1.21755, 1.17481, 1.07289, 1.14788,,59, 0, 0.178677, 0.148795, 0.0679405, 0.128832
,,,60, 95.2349, 77.3996, 80.4088, 88.9511, 82.4052,,60, 1, 1.23043, 1.18438, 1.07064, 1.15569,,60, 0, 0.187276, 0.155679, 0.0659815, 0.134716
,,,61, 99.4241, 81.409, 84.3972, 92.4981, 86.4025,,61, 1, 1.22129, 1.17805, 1.07488, 1.15071,,61, 0, 0.181195, 0.151139, 0.0696608, 0.13097
,,,62, 100.329, 82.3975, 85.3986, 93.5, 87.4011,,62, 1, 1.21762, 1.17483, 1.07303, 1.14791,,62, 0, 0.178723, 0.148811, 0.0680617, 0.128851
,,,63, 101.33, 83.4014, 86.3974, 94.9782, 88.4162,,63, 1, 1.21496, 1.17283, 1.06687, 1.14605,,63, 0, 0.176929, 0.147362, 0.0626795, 0.127439
,,,64, 90.3543, 72.4138, 75.4034, 88.1423, 77.4004,,64, 1, 1.24775, 1.19828, 1.0251, 1.16736,,64, 0, 0.198557, 0.16547, 0.0244811, 0.143367
,,,65, 99.5032, 81.4877, 84.4844, 97.1781, 86.4778,,65, 1, 1.22108, 1.17777, 1.02393, 1.15062,,65, 0, 0.181055, 0.150937, 0.0233667, 0.130904
,,,66, 100.405, 82.476, 85.4771, 97.7995, 87.4777,,66, 1, 1.21738, 1.17464, 1.02664, 1.14778,,66, 0, 0.178565, 0.148675, 0.0259472, 0.12875
,,,67, 102.41, 84.4793, 87.479, 99.9145, 89.5001,,67, 1, 1.21225, 1.17068, 1.02497, 1.14424,,67, 0, 0.175086, 0.145794, 0.0243653, 0.126059
,,,68, 96.3608, 78.4785, 81.4794, 97.1779, 83.4772,,68, 1, 1.22786, 1.18264, 0.991592, 1.15434,,68, 0, 0.185576, 0.154434,-0.00847971, 0.133701
,,,69, 100.406, 82.4714, 85.477, 100.913, 87.4793,,69, 1, 1.21746, 1.17465, 0.994972, 1.14777,,69, 0, 0.178619, 0.148685,-0.00505351, 0.128742
,,,70, 101.41, 83.4752, 86.477, 102.239, 88.4972,,70, 1, 1.21485, 1.17268, 0.991895, 1.14591,,70, 0, 0.176854, 0.147255,-0.00817157, 0.127333
,,,71, 102.412, 84.4789, 87.4753, 103.233, 89.4968,,71, 1, 1.21228, 1.17075, 0.992044, 1.14431,,71, 0, 0.175105, 0.145847,-0.00801967, 0.126107
,,,72, 97.3551, 79.4772, 82.4827, 97.8014, 84.479,,72, 1, 1.22494, 1.18031, 0.995436, 1.15242,,72, 0, 0.183636, 0.152764,-0.00458452, 0.132259
,,,73, 102.402, 84.4813, 87.4729, 103.24, 89.4916,,73, 1, 1.21213, 1.17067, 0.991886, 1.14427,,73, 0, 0.175005, 0.14579,-0.00818007, 0.126077
,,,74, 103.357, 85.4784, 88.4876, 104.216, 90.4793,,74, 1, 1.20916, 1.16804, 0.991756, 1.14233,,74, 0, 0.172981, 0.143867,-0.00831275, 0.124596
