name,ptest -- memset,ticks,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare (%),bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA
ratio_lx_mmx64_BA, 1.10836,,1455, 551.331, 552.049, 2816.78, 628.031, 551.133, 545.324, 649.712, 546.379, 549.676, 602.464, 554.971, 601.457, 484.196,,1455, 1, 0.998699, 0.195731, 0.877872, 1.00036, 1.01102, 0.848578, 1.00906, 1.00301, 0.915127, 0.993441, 0.916659, 1.13865,,1455, 0,-0.00130295,-4.10905,-0.139118, 0.000359697, 0.0108964,-0.178442, 0.00898153, 0.00300224,-0.092745,-0.00660188,-0.0909179, 0.121769
,,,1488, 563.03, 562.864, 2877.42, 640.667, 560.743, 557.473, 659.165, 560.125, 560.378, 612.391, 568.061, 604.486, 494.389,,1488, 1, 1.00029, 0.195672, 0.878819, 1.00408, 1.00997, 0.854156, 1.00519, 1.00473, 0.919396, 0.991143, 0.931419, 1.13884,,1488, 0, 0.000293584,-4.11059,-0.137891, 0.00406197, 0.00986908,-0.170747, 0.00515935, 0.00471066,-0.0876706,-0.00893625,-0.0736305, 0.121914
,,,1521, 576.847, 574.618, 2949.32, 654.136, 574.954, 567.214, 676.134, 568.746, 572.176, 624.42, 577.169, 624.371, 503.219,,1521, 1, 1.00388, 0.195587, 0.881846, 1.00329, 1.01698, 0.853155, 1.01425, 1.00816, 0.923813, 0.999444, 0.923886, 1.14631,,1521, 0, 0.0038651,-4.11282,-0.133985, 0.0032827, 0.0167,-0.172119, 0.014045, 0.00809768,-0.0824699,-0.000556764,-0.0823849, 0.127639
,,,1554, 585.7, 585.313, 3002.87, 662.13, 583.741, 579.516, 690.497, 581.159, 581.077, 638.666, 591.628, 633.511, 512.858,,1554, 1, 1.00066, 0.195047, 0.884571, 1.00336, 1.01067, 0.84823, 1.00782, 1.00796, 0.917069, 0.989981, 0.924531, 1.14203,,1554, 0, 0.000661578,-4.12697,-0.130492, 0.00334571, 0.0105592,-0.178926, 0.00775465, 0.00789468,-0.0904307,-0.0101204,-0.0816294, 0.124368
,,,1587, 597.504, 598.904, 3057.03, 679.741, 597.474, 591.232, 706.733, 592.89, 593.931, 649.319, 601.773, 650.339, 524.784,,1587, 1, 0.997663, 0.195453, 0.879017, 1.00005, 1.01061, 0.845444, 1.00778, 1.00602, 0.9202, 0.992905, 0.918758, 1.13857,,1587, 0,-0.00234289,-4.11633,-0.137635, 5.04962e-05, 0.010497,-0.18281, 0.00772139, 0.00597922,-0.0867198,-0.00714537,-0.0884263, 0.121706
,,,1620, 608.463, 608.311, 3111.81, 691.305, 608.291, 602.717, 714.941, 602.253, 606.77, 659.625, 612.892, 654.496, 531.392,,1620, 1, 1.00025, 0.195534, 0.880166, 1.00028, 1.00953, 0.851069, 1.01031, 1.00279, 0.922439, 0.992774, 0.929667, 1.14504,,1620, 0, 0.000251145,-4.11421,-0.136149, 0.000282848, 0.00944404,-0.174994, 0.010206, 0.00278323,-0.084083,-0.00727854,-0.0756542, 0.126665
,,,1653, 619.98, 621.031, 3172.86, 706.512, 619.805, 614.5, 730.621, 614.8, 617.055, 673.778, 624.657, 673.821, 542.048,,1653, 1, 0.998309, 0.195401, 0.877523, 1.00028, 1.00892, 0.848567, 1.00843, 1.00474, 0.920156, 0.992514, 0.920097, 1.14377,,1653, 0,-0.00169432,-4.11768,-0.139571, 0.000282816, 0.00883953,-0.178458, 0.00835499, 0.00471831,-0.0867727,-0.00754278,-0.0868425, 0.125701
,,,1686, 632.108, 632.932, 3225.71, 714.61, 631.447, 625.553, 746.29, 626.601, 628.432, 683.369, 636.12, 684.276, 552.059,,1686, 1, 0.998699, 0.195959, 0.884551, 1.00105, 1.01048, 0.847001, 1.00879, 1.00585, 0.924988, 0.993693, 0.923762, 1.145,,1686, 0,-0.00130306,-4.1031,-0.130518, 0.00104611, 0.0103702,-0.180637, 0.00871258, 0.00581552,-0.0810948,-0.00634674,-0.0825299, 0.126639
,,,1719, 641.133, 642.846, 3296.82, 729.555, 640.359, 637.636, 761.247, 638.074, 638.589, 694.376, 647.386, 697.122, 562.162,,1719, 1, 0.997336, 0.19447, 0.878799, 1.00121, 1.00548, 0.842214, 1.00479, 1.00398, 0.923323, 0.99034, 0.919686, 1.14048,,1719, 0,-0.00267122,-4.14218,-0.137916, 0.00120744, 0.0054539,-0.187347, 0.00477115, 0.00396817,-0.0830449,-0.00975397,-0.0873281, 0.123175
,,,1752, 653.401, 656.075, 3353.24, 740.979, 650.815, 648.133, 769.453, 649.185, 651.8, 708.273, 656.624, 704.316, 569.9,,1752, 1, 0.995924, 0.194856, 0.881807, 1.00397, 1.00813, 0.849176, 1.00649, 1.00246, 0.922527, 0.995091, 0.927709, 1.14652,,1752, 0,-0.00409241,-4.13199,-0.134035, 0.00395688, 0.00806245,-0.177612, 0.00645179, 0.0024497,-0.0839791,-0.00493325,-0.0779238, 0.127794
