name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
,,,87, 1175.83, 859.791, 937.166, 737.755, 862.811, 880.095, 775.437, 594.624, 592.719, 709.821,,87, 1, 1.36758, 1.25467, 1.59379, 1.36279, 1.33603, 1.51635, 1.97743, 1.98379, 1.65652,,87, 0, 0.26878, 0.202975, 0.372566, 0.266211, 0.251512, 0.34052, 0.494294, 0.495914, 0.396324
,,,88, 1177.23, 862.669, 944.862, 738.666, 863.471, 881.899, 779.212, 593.393, 592.31, 716.223,,88, 1, 1.36464, 1.24593, 1.59372, 1.36337, 1.33488, 1.51079, 1.98389, 1.98752, 1.64366,,88, 0, 0.267204, 0.197385, 0.372538, 0.266523, 0.250869, 0.338096, 0.495941, 0.496861, 0.391602
,,,89, 1184.47, 870.527, 945.506, 755.996, 867.954, 881.967, 792.074, 597.26, 595.925, 716.861,,89, 1, 1.36064, 1.25274, 1.56677, 1.36467, 1.34299, 1.49541, 1.98318, 1.98762, 1.65231,,89, 0, 0.265052, 0.20175, 0.361745, 0.267224, 0.255394, 0.331286, 0.49576, 0.496887, 0.394786
,,,90, 1183.72, 870.897, 945.797, 758.663, 868.605, 886.56, 792.471, 607.243, 594.411, 716.567,,90, 1, 1.3592, 1.25156, 1.56027, 1.36278, 1.33518, 1.49371, 1.94934, 1.99142, 1.65193,,90, 0, 0.264271, 0.200997, 0.359086, 0.266208, 0.251039, 0.330525, 0.487005, 0.497845, 0.394649
,,,91, 1206.07, 873.523, 966.638, 760.425, 874.07, 889.131, 813.783, 608.849, 598.7, 717.084,,91, 1, 1.38069, 1.24769, 1.58605, 1.37983, 1.35646, 1.48205, 1.9809, 2.01448, 1.68191,,91, 0, 0.275726, 0.198521, 0.369501, 0.275273, 0.262785, 0.325259, 0.495179, 0.503594, 0.405437
,,,92, 1216.81, 875.275, 969.74, 762.802, 874.003, 890.431, 802.106, 610.968, 608.926, 721.13,,92, 1, 1.3902, 1.25478, 1.59518, 1.39222, 1.36654, 1.51701, 1.9916, 1.99828, 1.68736,,92, 0, 0.280678, 0.203044, 0.373112, 0.281723, 0.268223, 0.340811, 0.497892, 0.49957, 0.407359
,,,93, 1211.78, 880.071, 974.714, 764.438, 878.876, 908.2, 806.631, 611.872, 609.179, 724.875,,93, 1, 1.37691, 1.24321, 1.58519, 1.37878, 1.33426, 1.50227, 1.98044, 1.9892, 1.6717,,93, 0, 0.273736, 0.195633, 0.36916, 0.274722, 0.250523, 0.334341, 0.495062, 0.497285, 0.401808
,,,94, 1217.19, 895.33, 976.732, 765.949, 893.251, 911.73, 819.165, 612.927, 613.21, 723.37,,94, 1, 1.35949, 1.24618, 1.58912, 1.36265, 1.33503, 1.48589, 1.98586, 1.98494, 1.68266,,94, 0, 0.264427, 0.19755, 0.370722, 0.266135, 0.250953, 0.327002, 0.49644, 0.496207, 0.405704
,,,95, 1215.81, 896.323, 979.571, 766.591, 894.274, 916.481, 815.04, 615.623, 611.255, 734.673,,95, 1, 1.35645, 1.24117, 1.586, 1.35955, 1.32661, 1.49172, 1.97493, 1.98905, 1.6549,,95, 0, 0.262779, 0.194308, 0.369483, 0.264465, 0.2462, 0.329634, 0.493654, 0.497246, 0.395735
,,,96, 1271.26, 937.777, 1035.45, 819.716, 934.232, 964.521, 864.906, 628.345, 612.109, 779.075,,96, 1, 1.35561, 1.22774, 1.55086, 1.36076, 1.31803, 1.46983, 2.02319, 2.07686, 1.63176,,96, 0, 0.262327, 0.185495, 0.355196, 0.265116, 0.24129, 0.319649, 0.505732, 0.518504, 0.387165
