name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
ratio_1dw, 1.89667,,1257, 16826.8, 10051.3, 11070.3, 10081.1, 10139.9, 10045.3, 9025.3, 7570.12, 6760.52, 8801.26,,1257, 1, 1.67409, 1.52, 1.66914, 1.65947, 1.67508, 1.8644, 2.22279, 2.48898, 1.91186,,1257, 0, 0.402661, 0.342105, 0.400887, 0.397398, 0.403015, 0.463635, 0.550115, 0.598228, 0.476949
,,,1290, 17036.7, 10422.8, 11303, 10373.2, 10351.5, 10130.4, 9230.51, 7668.18, 6843.74, 8984.09,,1290, 1, 1.63457, 1.50727, 1.64237, 1.64582, 1.68173, 1.84569, 2.22174, 2.48938, 1.89632,,1290, 0, 0.388217, 0.336548, 0.391125, 0.392401, 0.405376, 0.458198, 0.549901, 0.598294, 0.472662
,,,1323, 17405.3, 10483.1, 11691.6, 10505.1, 10506.5, 10458.6, 9469.26, 7899.12, 7065.75, 9048.41,,1323, 1, 1.66032, 1.48871, 1.65684, 1.65662, 1.66421, 1.83809, 2.20345, 2.46333, 1.92358,,1323, 0, 0.397705, 0.328275, 0.396443, 0.396361, 0.399113, 0.455956, 0.546166, 0.594046, 0.480135
,,,1356, 17464.4, 10736.9, 11872.5, 10740.2, 10656.7, 10562.1, 9619.81, 7999.36, 7107.76, 9324.59,,1356, 1, 1.62659, 1.471, 1.62607, 1.63883, 1.6535, 1.81546, 2.18322, 2.45709, 1.87294,,1356, 0, 0.385215, 0.32019, 0.385021, 0.389807, 0.395221, 0.449176, 0.541962, 0.593015, 0.46608
,,,1389, 17961.4, 10971.7, 12084.5, 11031.4, 11090.3, 10770.8, 9690.37, 8142.18, 7339.11, 9309.12,,1389, 1, 1.63707, 1.48632, 1.62822, 1.61956, 1.66761, 1.85354, 2.20598, 2.44736, 1.92945,,1389, 0, 0.389153, 0.327199, 0.385831, 0.38255, 0.400339, 0.46049, 0.546686, 0.591396, 0.481717
,,,1422, 18326, 11094.5, 12353.1, 11191.2, 11065.6, 11049.7, 9896.54, 8305.09, 7417.07, 9605.12,,1422, 1, 1.65181, 1.48351, 1.63753, 1.65612, 1.6585, 1.85176, 2.2066, 2.47078, 1.90794,,1422, 0, 0.394602, 0.325924, 0.389325, 0.39618, 0.397045, 0.459972, 0.546813, 0.59527, 0.475874
,,,1455, 18545.4, 11396.3, 12498.2, 11326.6, 11390.2, 11099.6, 10016.8, 8343.45, 7434, 9549.07,,1455, 1, 1.62731, 1.48384, 1.63733, 1.62819, 1.67082, 1.85143, 2.22275, 2.49468, 1.94212,,1455, 0, 0.38549, 0.326075, 0.389249, 0.385821, 0.401493, 0.459876, 0.550107, 0.599146, 0.485098
,,,1488, 18683.4, 11362.8, 12773.7, 11463.6, 11667.7, 11511.6, 10103.2, 8448.93, 7701.24, 9953.26,,1488, 1, 1.64427, 1.46265, 1.6298, 1.60129, 1.62301, 1.84926, 2.21134, 2.42603, 1.87712,,1488, 0, 0.391827, 0.316311, 0.386427, 0.375504, 0.383859, 0.459243, 0.547785, 0.587804, 0.467268
,,,1521, 18901.2, 11699.6, 13036, 11655.1, 11762.1, 11708.4, 10449.5, 8583.61, 7737.81, 9961.3,,1521, 1, 1.61554, 1.44992, 1.62171, 1.60695, 1.61433, 1.80881, 2.20201, 2.4427, 1.89746,,1521, 0, 0.381013, 0.310304, 0.383367, 0.377702, 0.380547, 0.44715, 0.545869, 0.590617, 0.472979
,,,1554, 19221, 12025.4, 13008.9, 12018, 11974.1, 11746.7, 10420.4, 8750.85, 7799.11, 10306.2,,1554, 1, 1.59836, 1.47753, 1.59935, 1.60521, 1.63628, 1.84455, 2.19647, 2.46451, 1.86499,,1554, 0, 0.374358, 0.323193, 0.374746, 0.37703, 0.388858, 0.457864, 0.544724, 0.594239, 0.463803
