Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	  2560	  2687	     9	  2684.0
STATS	  2688	  2815	  3897	  2745.0
STATS	  2816	  2943	  2188	  2911.0
STATS	  2944	  3071	   765	  2988.0
STATS	  3072	  3199	  1032	  3163.0
STATS	  3200	  3327	   950	  3271.0
STATS	  3328	  3455	  1986	  3389.0
STATS	  3456	  3583	  2539	  3508.0
STATS	  3584	  3711	  1741	  3637.0
STATS	  3712	  3839	  1036	  3775.0
STATS	  3840	  3967	   896	  3902.0
STATS	  3968	  4095	   723	  4028.0
STATS	  4096	  4351	  1627	  4222.0
STATS	  4352	  4607	   457	  4422.0
STATS	  4608	  4863	     9	  4656.0
STATS	  4864	  5119	     1	  4864.0
STATS	  5120	  5375	     4	  5237.0
STATS	  5376	  5631	     1	  5559.0
STATS	  5632	  5887	     2	  5689.0
STATS	  5888	  6143	     1	  6059.0
STATS	  6144	  6399	     1	  6221.0
STATS	 10240	 10751	     1	 10598.0
STATS	 10752	 11263	     6	 11193.0
STATS	 11264	 11775	    30	 11597.0
STATS	 11776	 12287	    44	 12055.0
STATS	 12288	 12799	    27	 12523.0
STATS	 12800	 13311	    19	 13019.0
STATS	 13312	 13823	     6	 13525.0
STATS	 14336	 14847	     1	 14593.0
STATS	 22528	 23551	     1	 23069.0
STATS	mode	0	3897	  2745.0
STATS	mode	1	2539	  3508.0
STATS	mode	2	2188	  2911.0
STATS	mode_avg	  3011.8
STATS	summary	lx64	2048	     1.5
STATS	start	bytes=2048	func=lx64si0
STATS	  2560	  2687	  2339	  2681.0
STATS	  2688	  2815	  3987	  2750.0
STATS	  2816	  2943	  2258	  2894.0
STATS	  2944	  3071	  2019	  2979.0
STATS	  3072	  3199	   679	  3136.0
STATS	  3200	  3327	  1085	  3267.0
STATS	  3328	  3455	  1986	  3397.0
STATS	  3456	  3583	  2244	  3519.0
STATS	  3584	  3711	  1743	  3642.0
STATS	  3712	  3839	   902	  3770.0
STATS	  3840	  3967	   401	  3883.0
STATS	  3968	  4095	   114	  4029.0
STATS	  4096	  4351	   103	  4178.0
STATS	  4352	  4607	     2	  4417.0
STATS	  5120	  5375	     3	  5276.0
STATS	  5376	  5631	     2	  5473.0
STATS	  5632	  5887	     2	  5668.0
STATS	  6144	  6399	     1	  6215.0
STATS	 10240	 10751	     1	 10480.0
STATS	 10752	 11263	     4	 11041.0
STATS	 11264	 11775	    28	 11549.0
STATS	 11776	 12287	    47	 12033.0
STATS	 12288	 12799	    43	 12498.0
STATS	 12800	 13311	     1	 12906.0
STATS	 13312	 13823	     1	 13661.0
STATS	 13824	 14335	     2	 13922.0
STATS	 14848	 15359	     2	 15072.0
STATS	 16384	 17407	     1	 17001.0
STATS	mode	0	3987	  2750.0
STATS	mode	1	2339	  2681.0
STATS	mode	2	2258	  2894.0
STATS	mode_avg	  2769.1
STATS	summary	lx64si0	2048	     1.4
STATS	start	bytes=2048	func=lx128
STATS	  2688	  2815	  3152	  2789.0
STATS	  2816	  2943	   838	  2846.0
STATS	  2944	  3071	  2313	  3026.0
STATS	  3072	  3199	  1562	  3144.0
STATS	  3200	  3327	  1066	  3262.0
STATS	  3328	  3455	  2314	  3413.0
STATS	  3456	  3583	  1756	  3510.0
STATS	  3584	  3711	  1406	  3656.0
STATS	  3712	  3839	   941	  3764.0
STATS	  3840	  3967	  1118	  3905.0
STATS	  3968	  4095	   718	  4029.0
STATS	  4096	  4351	  1876	  4223.0
STATS	  4352	  4607	   745	  4434.0
STATS	  4608	  4863	    47	  4658.0
STATS	  4864	  5119	     2	  4973.0
STATS	  5120	  5375	     2	  5265.0
STATS	  5376	  5631	     2	  5427.0
STATS	  5632	  5887	     1	  5877.0
STATS	  5888	  6143	     1	  6092.0
STATS	 10240	 10751	     1	 10490.0
STATS	 10752	 11263	     9	 11149.0
STATS	 11264	 11775	    29	 11547.0
STATS	 11776	 12287	    37	 12052.0
STATS	 12288	 12799	    33	 12530.0
STATS	 12800	 13311	    26	 13021.0
STATS	 13312	 13823	     4	 13424.0
STATS	 22528	 23551	     1	 23081.0
STATS	mode	0	3152	  2789.0
STATS	mode	1	2314	  3413.0
STATS	mode	2	2313	  3026.0
STATS	mode_avg	  3045.1
STATS	summary	lx128	2048	     1.5
STATS	start	bytes=3072	func=memcpy
STATS	  5376	  5631	  1415	  5503.0
STATS	  5632	  5887	   818	  5759.0
STATS	  5888	  6143	  4928	  6068.0
STATS	  6144	  6399	  2828	  6312.0
STATS	  6400	  6655	  3894	  6451.0
STATS	  6656	  6911	  1055	  6778.0
STATS	  6912	  7167	  1528	  7058.0
STATS	  7168	  7423	  2315	  7336.0
STATS	  7424	  7679	   787	  7571.0
STATS	  7680	  7935	    90	  7754.0
STATS	  7936	  8191	    15	  8031.0
STATS	  8192	  8703	    28	  8481.0
STATS	  8704	  9215	    23	  8894.0
STATS	  9216	  9727	     4	  9454.0
STATS	  9728	 10239	     1	 10216.0
STATS	 10240	 10751	     1	 10504.0
STATS	 11264	 11775	     1	 11353.0
STATS	 13312	 13823	     9	 13627.0
STATS	 13824	 14335	    49	 14125.0
STATS	 14336	 14847	    76	 14565.0
STATS	 14848	 15359	    55	 15074.0
STATS	 15360	 15871	    48	 15603.0
STATS	 15872	 16383	    12	 16105.0
STATS	 16384	 17407	    14	 16816.0
STATS	 17408	 18431	     1	 17754.0
STATS	 19456	 20479	     1	 19902.0
STATS	 20480	 21503	     1	 20537.0
STATS	 24576	 25599	     1	 24835.0
STATS	 28672	 29695	     1	 29514.0
STATS	 45056	 47103	     1	 47040.0
STATS	mode	0	4928	  6068.0
STATS	mode	1	3894	  6451.0
STATS	mode	2	2828	  6312.0
STATS	mode_avg	  6255.2
STATS	summary	memcpy	3072	     2.0
STATS	start	bytes=3072	func=libc586
STATS	  5120	  5375	     2	  5373.0
STATS	  5376	  5631	  1485	  5484.0
STATS	  5632	  5887	   869	  5755.0
STATS	  5888	  6143	  5235	  6048.0
STATS	  6144	  6399	  3753	  6334.0
STATS	  6400	  6655	  2583	  6453.0
STATS	  6656	  6911	   958	  6763.0
STATS	  6912	  7167	  1636	  7041.0
STATS	  7168	  7423	  2352	  7317.0
STATS	  7424	  7679	   746	  7559.0
STATS	  7680	  7935	    52	  7761.0
STATS	  7936	  8191	    19	  8013.0
STATS	  8192	  8703	    20	  8445.0
STATS	  8704	  9215	    18	  8918.0
STATS	  9216	  9727	     2	  9542.0
STATS	  9728	 10239	     1	 10017.0
STATS	 10240	 10751	     3	 10411.0
STATS	 12288	 12799	     1	 12672.0
STATS	 13312	 13823	     9	 13625.0
STATS	 13824	 14335	    75	 14115.0
STATS	 14336	 14847	    69	 14572.0
STATS	 14848	 15359	    49	 15099.0
STATS	 15360	 15871	    28	 15571.0
STATS	 15872	 16383	    17	 16127.0
STATS	 16384	 17407	    11	 16793.0
STATS	 17408	 18431	     3	 17885.0
STATS	 19456	 20479	     2	 20090.0
STATS	 27648	 28671	     1	 27688.0
