Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	  3968	  4095	   129	  4016.0
STATS	  4096	  4351	    48	  4165.0
STATS	  4352	  4607	     2	  4390.0
STATS	 10752	 11263	     2	 11198.0
STATS	 11264	 11775	    90	 11500.0
STATS	 11776	 12287	    35	 12038.0
STATS	 12288	 12799	    24	 12444.0
STATS	 12800	 13311	     1	 13216.0
STATS	 13312	 13823	     2	 13547.0
STATS	 13824	 14335	     1	 14000.0
STATS	 15360	 15871	     1	 15639.0
STATS	 15872	 16383	     1	 16354.0
STATS	mode	0	5645	  2770.0
STATS	mode	1	4772	  2889.0
STATS	mode	2	2631	  2993.0
STATS	mode_avg	  2858.5
STATS	summary	lx64	2048	     1.4
STATS	start	bytes=2048	func=lx64si0
STATS	  2304	  2431	    21	  2405.0
STATS	  2432	  2559	  8457	  2501.0
STATS	  2560	  2687	  4340	  2605.0
STATS	  2688	  2815	  1256	  2752.0
STATS	  2816	  2943	  1431	  2863.0
STATS	  2944	  3071	  1297	  3025.0
STATS	  3072	  3199	   742	  3132.0
STATS	  3200	  3327	  1843	  3251.0
STATS	  3328	  3455	   324	  3375.0
STATS	  3456	  3583	    95	  3512.0
STATS	  3584	  3711	    35	  3648.0
STATS	  3712	  3839	    18	  3779.0
STATS	  3840	  3967	     8	  3887.0
STATS	  3968	  4095	     3	  4008.0
STATS	 10752	 11263	    67	 11139.0
STATS	 11264	 11775	    43	 11445.0
STATS	 11776	 12287	    18	 11900.0
STATS	 12800	 13311	     1	 13086.0
STATS	 15872	 16383	     1	 16123.0
STATS	mode	0	8457	  2501.0
STATS	mode	1	4340	  2605.0
STATS	mode	2	1843	  3251.0
STATS	mode_avg	  2626.2
STATS	summary	lx64si0	2048	     1.3
STATS	start	bytes=2048	func=lx128
STATS	  2688	  2815	    15	  2803.0
STATS	  2816	  2943	  6766	  2859.0
STATS	  2944	  3071	  1161	  3022.0
STATS	  3072	  3199	  4757	  3121.0
STATS	  3200	  3327	  2157	  3260.0
STATS	  3328	  3455	   761	  3376.0
STATS	  3456	  3583	  1904	  3548.0
STATS	  3584	  3711	  1621	  3629.0
STATS	  3712	  3839	   488	  3766.0
STATS	  3840	  3967	   140	  3892.0
STATS	  3968	  4095	    53	  4023.0
STATS	  4096	  4351	    20	  4177.0
STATS	  4352	  4607	     2	  4395.0
STATS	 11264	 11775	    77	 11579.0
STATS	 11776	 12287	    62	 12019.0
STATS	 12288	 12799	     9	 12373.0
STATS	 12800	 13311	     2	 12891.0
STATS	 13312	 13823	     1	 13470.0
STATS	 14336	 14847	     1	 14584.0
STATS	 15360	 15871	     2	 15804.0
STATS	 16384	 17407	     1	 16922.0
STATS	mode	0	6766	  2859.0
STATS	mode	1	4757	  3121.0
STATS	mode	2	2157	  3260.0
STATS	mode_avg	  3013.3
STATS	summary	lx128	2048	     1.5
STATS	start	bytes=3072	func=memcpy
STATS	  5632	  5887	    35	  5871.0
STATS	  5888	  6143	 12553	  6016.0
STATS	  6144	  6399	  2566	  6255.0
STATS	  6400	  6655	  1967	  6563.0
STATS	  6656	  6911	  2029	  6808.0
STATS	  6912	  7167	   382	  7003.0
STATS	  7168	  7423	    91	  7280.0
STATS	  7424	  7679	    40	  7557.0
STATS	  7680	  7935	    11	  7737.0
STATS	  7936	  8191	     2	  8012.0
STATS	 14336	 14847	   137	 14754.0
STATS	 14848	 15359	   129	 15028.0
STATS	 15360	 15871	    40	 15531.0
STATS	 15872	 16383	    10	 16051.0
STATS	 16384	 17407	     3	 16652.0
STATS	 17408	 18431	     2	 18008.0
STATS	 18432	 19455	     3	 18915.0
STATS	mode	0	12553	  6016.0
STATS	mode	1	2566	  6255.0
STATS	mode	2	2029	  6808.0
STATS	mode_avg	  6145.5
STATS	summary	memcpy	3072	     2.0
STATS	start	bytes=3072	func=libc586
STATS	  5632	  5887	    39	  5870.0
STATS	  5888	  6143	 12909	  5987.0
STATS	  6144	  6399	  2274	  6250.0
STATS	  6400	  6655	  2122	  6531.0
STATS	  6656	  6911	  1942	  6790.0
STATS	  6912	  7167	   280	  6998.0
STATS	  7168	  7423	    79	  7270.0
STATS	  7424	  7679	    38	  7550.0
STATS	  7680	  7935	     3	  7810.0
STATS	 14336	 14847	   206	 14594.0
STATS	 14848	 15359	    66	 15085.0
STATS	 15360	 15871	    31	 15492.0
STATS	 15872	 16383	     5	 16077.0
STATS	 16384	 17407	     2	 16500.0
STATS	 17408	 18431	     2	 17517.0
STATS	 18432	 19455	     1	 18479.0
STATS	 19456	 20479	     1	 20138.0
STATS	mode	0	12909	  5987.0
STATS	mode	1	2274	  6250.0
STATS	mode	2	2122	  6531.0
STATS	mode_avg	  6088.3
STATS	summary	libc586	3072	     2.0
STATS	start	bytes=3072	func=lx64
STATS	  3968	  4095	   691	  4081.0
STATS	  4096	  4351	  7783	  4249.0
STATS	  4352	  4607	  4729	  4434.0
STATS	  4608	  4863	  1703	  4724.0
STATS	  4864	  5119	   648	  4971.0
STATS	  5120	  5375	  1143	  5232.0
STATS	  5376	  5631	   983	  5453.0
STATS	  5632	  5887	  1803	  5757.0
STATS	  5888	  6143	   237	  5965.0
STATS	  6144	  6399	    35	  6244.0
STATS	  6400	  6655	     2	  6456.0
STATS	  6656	  6911	     1	  6670.0
STATS	 12288	 12799	    32	 12698.0
STATS	 12800	 13311	   124	 12985.0
STATS	 13312	 13823	    19	 13454.0
STATS	 13824	 14335	    39	 14099.0
STATS	 14336	 14847	    20	 14454.0
STATS	 14848	 15359	     3	 15065.0
STATS	 15872	 16383	     1	 16080.0
STATS	 17408	 18431	     1	 17621.0
STATS	 18432	 19455	     1	 18905.0
STATS	 65536	 69631	     1	 65933.0
STATS	 81920	 86015	     1	 84060.0
STATS	mode	0	7783	  4249.0
STATS	mode	1	4729	  4434.0
STATS	mode	2	1803	  5757.0
STATS	mode_avg	  4500.1
STATS	summary	lx64	3072	     1.5
STATS	start	bytes=3072	func=lx64si0
STATS	  3456	  3583	   509	  3568.0
STATS	  3584	  3711	  3065	  3632.0
STATS	  3712	  3839	  5289	  3784.0
STATS	  3840	  3967	  3569	  3889.0
STATS	  3968	  4095	  1216	  4031.0
STATS	  4096	  4351	  1757	  4203.0
STATS	  4352	  4607	  1217	  4440.0
STATS	  4608	  4863	  2340	  4742.0
STATS	  4864	  5119	   693	  4947.0
STATS	  5120	  5375	    96	  5209.0
STATS	  5376	  5631	    44	  5495.0
STATS	  5632	  5887	    10	  5753.0
STATS	 11776	 12287	    16	 12231.0
STATS	 12288	 12799	   107	 12531.0
STATS	 12800	 13311	    39	 13032.0
STATS	 13312	 13823	    26	 13523.0
STATS	 13824	 14335	     3	 13929.0
STATS	 14336	 14847	     1	 14756.0
STATS	 14848	 15359	     1	 15291.0
STATS	 16384	 17407	     1	 17271.0
STATS	 17408	 18431	     1	 18230.0
STATS	mode	0	5289	  3784.0
STATS	mode	1	3569	  3889.0
STATS	mode	2	3065	  3632.0
STATS	mode_avg	  3776.4
STATS	summary	lx64si0	3072	     1.2
STATS	start	bytes=3072	func=lx128
STATS	  4096	  4351	    66	  4314.0
STATS	  4352	  4607	 11540	  4477.0
STATS	  4608	  4863	  2842	  4706.0
STATS	  4864	  5119	  1456	  5011.0
STATS	  5120	  5375	  1077	  5257.0
STATS	  5376	  5631	  2122	  5505.0
STATS	  5632	  5887	   556	  5711.0
STATS	  5888	  6143	    77	  5996.0
STATS	  6144	  6399	    12	  6230.0
STATS	  6400	  6655	     5	  6504.0
STATS	 12288	 12799	     2	 12748.0
STATS	 12800	 13311	   148	 13099.0
STATS	 13312	 13823	    41	 13526.0
STATS	 13824	 14335	    42	 14067.0
STATS	 14336	 14847	     7	 14484.0
STATS	 14848	 15359	     3	 15076.0
STATS	 15360	 15871	     1	 15442.0
STATS	 15872	 16383	     2	 16049.0
STATS	 16384	 17407	     1	 17226.0
STATS	mode	0	11540	  4477.0
STATS	mode	1	2842	  4706.0
STATS	mode	2	2122	  5505.0
STATS	mode_avg	  4648.6
STATS	summary	lx128	3072	     1.5
STATS	start	bytes=4096	func=memcpy
STATS	  7680	  7935	  1372	  7918.0
STATS	  7936	  8191	 10176	  8007.0
STATS	  8192	  8703	  4094	  8311.0
STATS	  8704	  9215	  3661	  8864.0
STATS	  9216	  9727	   233	  9398.0
STATS	  9728	 10239	    38	  9881.0
STATS	 10240	 10751	     2	 10260.0
STATS	 16384	 17407	   317	 16855.0
STATS	 17408	 18431	    99	 17667.0
STATS	 18432	 19455	     3	 18890.0
STATS	 20480	 21503	     4	 20716.0
STATS	 21504	 22527	     1	 21582.0
STATS	mode	0	10176	  8007.0
STATS	mode	1	4094	  8311.0
STATS	mode	2	3661	  8864.0
STATS	mode_avg	  8251.4
STATS	summary	memcpy	4096	     2.0
STATS	start	bytes=4096	func=libc586
STATS	  7680	  7935	  5283	  7910.0
STATS	  7936	  8191	  6540	  8020.0
STATS	  8192	  8703	  3881	  8294.0
STATS	  8704	  9215	  3646	  8831.0
STATS	  9216	  9727	   206	  9395.0
STATS	  9728	 10239	    30	  9875.0
STATS	 15872	 16383	     6	 16354.0
STATS	 16384	 17407	   350	 16729.0
STATS	 17408	 18431	    50	 17659.0
STATS	 18432	 19455	     3	 18935.0
STATS	 19456	 20479	     2	 20205.0
STATS	 20480	 21503	     3	 21142.0
STATS	mode	0	6540	  8020.0
